##NAMES=Kuksite
##RRUFFID=R110039
##IDEAL CHEMISTRY=Pb_3_Zn_3_Te^6+^O_6_(PO_4_)_2_
##LOCALITY=Blue Bell claims, Baker, San Bernardino County, California, USA
##OWNER=RRUFF
##SOURCE=Brent Thorne
##DESCRIPTION=Pale-green short-primatic hexagonal crystals, associated with colorless elongated tabular hemimorphite and yellow to brown-yellow andradite.
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R110039
616.9636, 0.9958800
617.4457, 1.280182
617.9278, 0.7854310
618.4099, 0.3924870
618.8920, 1.237854
619.3741, 1.155212
619.8563, 0.6469120
620.3384, 0.3409420
620.8205, 0.2387080
621.3026, 0.3338320
621.7847, 0.7731320
622.2668, 1.305573
622.7490, 1.796356
623.2311, 2.251099
623.7132, 2.454834
624.1953, 2.090759
624.6774, 1.621979
625.1595, 1.370300
625.6417, 1.441528
626.1238, 1.515961
626.6059, 1.600616
627.0880, 1.665527
627.5701, 1.647491
628.0522, 1.527893
628.5344, 1.493713
629.0165, 1.629303
629.4986, 1.804840
629.9807, 1.755310
630.4628, 1.511108
630.9449, 1.230286
631.4271, 1.051117
631.9092, 0.8428340
632.3913, 0.4008790
632.8734, 0.2295230
633.3555, 0.7718200
633.8376, 1.347778
634.3198, 1.587158
634.8019, 1.070831
635.2840, 0.4992680
635.7661, 1.451691
636.2482, 1.193817
636.7303, 0.6297910
637.2125, 0.3888240
637.6946, 0.6708980
638.1767, 0.6434020
638.6588, 0.1644900
639.1409, 0.4471130
639.6230, 0.7090450
640.1052, 0.6477660
640.5873, 0.6110530
641.0694, 0.7098080
641.5515, 0.8415830
642.0336, 0.9078060
642.5157, 0.8848570
642.9979, 0.7010500
643.4800, 8.4259003E-02
643.9621, 0.5115360
644.4442, 0.7932130
644.9263, 0.7757260
645.4084, 0.5645140
645.8906, 0.1395260
646.3727, 0.7421570
646.8548, 0.8946840
647.3369, 0.5195920
647.8190, 0.3196110
648.3011, 0.3399960
648.7833, 0.4724730
649.2654, 0.6169430
649.7475, 0.7622070
650.2296, 1.192963
650.7117, 2.032654
651.1938, 2.747620
651.6760, 2.295502
652.1581, 1.128998
652.6402, 0.7313230
653.1223, 1.743927
653.6044, 3.095276
654.0865, 3.893738
654.5687, 4.337097
655.0508, 4.814026
655.5329, 5.675323
656.0150, 6.391266
656.4971, 6.689178
656.9792, 6.645355
657.4614, 6.670471
657.9435, 6.713440
658.4256, 6.920288
658.9077, 7.353790
659.3898, 8.007324
659.8719, 8.787262
660.3541, 9.741608
660.8362, 10.59152
661.3183, 11.18259
661.8004, 11.51239
662.2825, 11.42130
662.7646, 10.86081
663.2468, 10.60458
663.7289, 11.69498
664.2110, 13.36249
664.6931, 14.59427
665.1752, 15.06790
665.6573, 15.37564
666.1395, 15.51620
666.6216, 15.74542
667.1037, 16.37689
667.5858, 18.05307
668.0679, 19.37540
668.5500, 20.16815
669.0322, 20.57117
669.5143, 20.75876
669.9964, 20.60999
670.4785, 20.84280
670.9606, 21.75375
671.4427, 23.14078
671.9249, 24.49002
672.4070, 25.80438
672.8891, 27.07828
673.3712, 28.35492
673.8533, 29.54327
674.3354, 30.47162
674.8176, 31.15988
675.2997, 31.78256
675.7818, 32.11652
676.2639, 32.58090
676.7460, 33.59616
677.2281, 35.49268
677.7103, 37.03067
678.1924, 38.02258
678.6745, 38.75275
679.1566, 39.31924
679.6387, 39.54730
680.1208, 40.45340
680.6030, 42.30991
681.0851, 44.30612
681.5672, 45.31982
682.0493, 45.62427
682.5314, 46.33194
683.0135, 47.76886
683.4957, 49.45480
683.9778, 50.97351
684.4599, 52.37949
684.9420, 53.71579
685.4241, 54.97989
685.9063, 56.25412
686.3884, 57.43332
686.8705, 58.62125
687.3526, 60.24875
687.8347, 62.87399
688.3168, 65.22342
688.7990, 66.78586
689.2811, 67.75287
689.7632, 69.35983
690.2453, 71.70746
690.7274, 74.09906
691.2095, 76.07269
691.6917, 77.72415
692.1738, 79.36539
692.6559, 80.96423
693.1380, 82.47028
693.6201, 83.67920
694.1022, 84.99945
694.5844, 86.88495
695.0665, 89.44666
695.5486, 91.88260
696.0307, 93.78421
696.5128, 95.59656
696.9949, 97.70221
697.4771, 100.3859
697.9592, 102.6481
698.4413, 104.2708
698.9234, 105.7457
699.4055, 107.7739
699.8876, 110.3761
700.3698, 112.5811
700.8519, 114.0739
701.3340, 115.4568
701.8161, 117.9344
702.2982, 120.9955
702.7803, 123.2668
703.2625, 123.4400
703.7446, 123.6977
704.2267, 125.5076
704.7088, 128.4102
705.1909, 131.4177
705.6730, 134.3900
706.1552, 137.2634
706.6373, 139.9012
707.1194, 142.4001
707.6015, 145.2713
708.0836, 148.5769
708.5657, 151.9802
709.0479, 155.2604
709.5300, 158.5356
710.0121, 162.5056
710.4942, 167.1517
710.9763, 171.6340
711.4584, 175.0604
711.9406, 178.2003
712.4227, 181.9256
712.9048, 186.3126
713.3869, 191.3527
713.8690, 197.0291
714.3511, 203.2027
714.8333, 210.0555
715.3154, 217.9834
715.7975, 225.4432
716.2796, 231.9759
716.7617, 238.6901
717.2438, 246.6332
717.7260, 255.8441
718.2081, 265.4402
718.6902, 275.2470
719.1723, 285.6899
719.6544, 297.2984
720.1365, 309.7734
720.6187, 322.2789
721.1008, 334.5808
721.5829, 347.2710
722.0650, 361.3564
722.5471, 376.0756
723.0292, 390.6728
723.5114, 404.0553
723.9935, 417.7943
724.4756, 432.8116
724.9577, 448.1612
725.4398, 462.5307
725.9219, 475.6534
726.4041, 488.3409
726.8862, 500.6429
727.3683, 512.6902
727.8504, 524.9892
728.3325, 537.2695
728.8146, 547.6910
729.2968, 555.0793
729.7789, 560.3307
730.2610, 564.4756
730.7431, 567.3483
731.2252, 568.4011
731.7073, 567.4658
732.1895, 564.5999
732.6716, 559.6884
733.1537, 552.7032
733.6358, 544.3404
734.1179, 534.5283
734.6000, 523.2747
735.0822, 510.6895
735.5643, 496.7346
736.0464, 481.0636
736.5285, 463.6102
737.0106, 445.8576
737.4927, 428.9063
737.9749, 412.3437
738.4570, 395.5125
