##NAMES=Quenselite
##RRUFFID=R100036
##IDEAL CHEMISTRY=PbMn^3+^O_2_(OH)
##LOCALITY=Langban, Filipstad, Varmland, Sweden
##OWNER=RRUFF
##SOURCE=William W Pinch
##DESCRIPTION=Tabular to rectangular blocky, black with a hint of red highlights
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R100036
557.6633, 32.70700
558.1454, 30.45604
558.6275, 28.37001
559.1096, 26.59569
559.5917, 24.97714
560.0739, 23.35736
560.5560, 21.71322
561.0381, 20.35664
561.5202, 19.61609
562.0023, 19.10302
562.4844, 18.54415
562.9666, 17.99883
563.4487, 17.25095
563.9308, 16.38697
564.4129, 15.28298
564.8950, 13.59781
565.3771, 10.70420
565.8593, 8.703831
566.3414, 8.236622
566.8235, 9.004559
567.3056, 9.849228
567.7877, 10.84339
568.2698, 11.33742
568.7520, 10.63251
569.2341, 9.076897
569.7162, 7.860012
570.1983, 7.014503
570.6804, 6.717308
571.1625, 7.905674
571.6447, 9.568020
572.1268, 9.943016
572.6089, 8.087887
573.0910, 6.013351
573.5731, 4.680347
574.0552, 4.058357
574.5374, 4.065403
575.0195, 5.685860
575.5016, 6.920330
575.9837, 6.695812
576.4658, 5.181225
576.9479, 4.664738
577.4301, 6.138367
577.9122, 7.501617
578.3943, 7.817554
578.8764, 6.890907
579.3585, 5.915249
579.8406, 4.770046
580.3228, 3.843086
580.8049, 3.727394
581.2870, 4.363274
581.7691, 4.649200
582.2512, 4.333694
582.7333, 3.741901
583.2155, 3.119732
583.6975, 2.591152
584.1796, 2.521503
584.6617, 3.711296
585.1439, 4.981148
585.6260, 5.152081
586.1081, 4.396957
586.5902, 3.603451
587.0723, 3.014668
587.5544, 2.643414
588.0366, 2.543522
588.5187, 2.805752
589.0008, 2.972614
589.4829, 2.941063
589.9650, 2.827518
590.4471, 2.725998
590.9293, 2.704617
591.4114, 2.518040
591.8935, 2.075901
592.3756, 1.541531
592.8577, 1.288929
593.3398, 1.351166
593.8220, 1.146500
594.3041, 1.231736
594.7862, 0.7917330
595.2683, 1.211918
595.7504, 1.004761
596.2325, 0.5229950
596.7147, 0.2745550
597.1968, 1.085945
597.6789, 1.666847
598.1610, 2.002869
598.6431, 1.849842
599.1252, 2.123957
599.6074, 1.055611
600.0895, 2.032982
600.5716, 2.170601
601.0537, 1.925842
601.5358, 0.8358570
602.0179, 0.3962860
602.5001, 0.8151590
602.9822, 2.0873999E-02
603.4643, 0.8152200
603.9464, 1.434566
604.4285, 1.835106
604.9106, 1.847980
605.3928, 1.447906
605.8749, 0.8843120
606.3570, 6.2008001E-02
606.8391, 0.8126140
607.3212, 0.9106790
607.8033, 0.2642780
608.2855, 0.3573110
608.7676, 0.5180090
609.2497, 0.2329180
609.7318, 0.6935420
610.2139, 2.510849
610.6960, 3.875118
611.1782, 3.637741
611.6603, 2.748741
612.1424, 2.213291
612.6245, 2.536987
613.1066, 2.899563
613.5887, 3.315418
614.0709, 3.687668
614.5530, 3.724285
615.0351, 2.975628
615.5172, 2.913033
615.9993, 4.260857
616.4814, 6.604488
616.9636, 7.641258
617.4457, 7.274517
617.9278, 6.699509
618.4099, 6.530602
618.8920, 6.743282
619.3741, 7.197994
619.8563, 7.889160
620.3384, 9.085602
620.8205, 11.55805
621.3026, 14.42737
621.7847, 16.60097
622.2668, 17.73760
622.7490, 18.54176
623.2311, 19.11044
623.7132, 19.61433
624.1953, 20.27178
624.6774, 21.19840
625.1595, 22.20578
625.6417, 23.32081
626.1238, 24.47832
626.6059, 25.43867
627.0880, 26.12480
627.5701, 26.85931
628.0522, 27.70551
628.5344, 28.68954
629.0165, 29.99159
629.4986, 31.61876
629.9807, 33.26253
630.4628, 34.76633
630.9449, 36.11280
631.4271, 37.31281
631.9092, 38.37834
632.3913, 39.26720
632.8734, 39.91488
633.3555, 40.36615
633.8376, 40.56742
634.3198, 40.07866
634.8019, 40.16012
635.2840, 41.96220
635.7661, 44.24814
636.2482, 45.29311
636.7303, 44.24243
637.2125, 43.52988
637.6946, 43.53959
638.1767, 43.84108
638.6588, 43.23057
639.1409, 41.57301
639.6230, 39.94886
640.1052, 38.81003
640.5873, 37.97504
641.0694, 36.82038
641.5515, 35.38156
642.0336, 34.12961
642.5157, 33.44468
642.9979, 32.95209
643.4800, 32.40360
643.9621, 31.79145
644.4442, 30.53348
644.9263, 27.72210
645.4084, 24.49075
