##NAMES=Petersenite-(Ce)
##RRUFFID=R120035
##IDEAL CHEMISTRY=Na_4_Ce_2_(CO_3_)_5_
##LOCALITY=Mont Saint-Hilaire, Rouville RCM, Montérégie, Québec, Canada
##OWNER=RRUFF
##SOURCE=Donald Doell
##DESCRIPTION=Pale yellow or pink (depending on light source) hexagonal prismatic crystals, associated with albite and aegirine.
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R120035
534.0396, 0.8670350
534.5217, 1.052269
535.0038, 1.153412
535.4859, 1.086884
535.9680, 0.9083100
536.4501, 0.7961650
536.9323, 0.8329540
537.4144, 0.7877810
537.8965, 0.5128780
538.3786, 3.0900000E-03
538.8607, 0.2375260
539.3428, 0.1720960
539.8250, 0.1140750
540.3071, 0.7538990
540.7892, 1.663063
541.2713, 2.014755
541.7534, 1.571335
542.2355, 0.8246610
542.7177, 0.3432010
543.1998, 0.1135710
543.6819, 9.6778996E-02
544.1640, 0.5842130
544.6461, 1.060844
545.1282, 0.9046480
545.6104, 0.2247090
546.0925, 0.2939380
546.5746, 0.2823410
547.0567, 4.5799999E-04
547.5388, 0.4725720
548.0209, 1.268608
548.5031, 1.724754
548.9852, 1.527687
549.4673, 1.042656
549.9494, 0.6332860
550.4315, 0.1734620
550.9136, 1.9409001E-02
551.3958, 0.3983840
551.8779, 1.062943
552.3600, 1.212158
552.8421, 0.6965790
553.3242, 0.1805340
553.8063, 4.3388002E-02
554.2885, 1.5876999E-02
554.7706, 7.6706000E-02
555.2527, 0.2380830
555.7348, 0.3656080
556.2169, 0.3566670
556.6990, 0.2214660
557.1812, 6.6009998E-02
557.6633, 0.5708540
558.1454, 0.9999620
558.6275, 0.8737410
559.1096, 0.4998170
559.5917, 0.4206700
560.0739, 1.436821
560.5560, 2.251083
561.0381, 1.995972
561.5202, 0.9188000
562.0023, 0.1061020
562.4844, 9.9045001E-02
562.9666, 4.1549999E-02
563.4487, 0.2205810
563.9308, 0.7936100
564.4129, 1.036789
564.8950, 0.7525860
565.3771, 0.3832020
565.8593, 0.3086930
566.3414, 0.6044620
566.8235, 0.9109270
567.3056, 1.217079
567.7877, 1.447220
568.2698, 1.480370
568.7520, 1.328499
569.2341, 1.095268
569.7162, 0.7664180
570.1983, 0.4189680
570.6804, 0.1190800
571.1625, 8.4663004E-02
571.6447, 4.3021999E-02
572.1268, 0.6967540
572.6089, 1.527237
573.0910, 1.742325
573.5731, 1.176620
574.0552, 0.7158130
574.5374, 0.8713230
575.0195, 1.265274
575.5016, 1.539345
575.9837, 1.656960
576.4658, 1.623299
576.9479, 1.331215
577.4301, 0.9013520
577.9122, 0.5411990
578.3943, 0.1309810
578.8764, 4.2151999E-02
579.3585, 0.5012130
579.8406, 1.388947
580.3228, 1.880829
580.8049, 1.946854
581.2870, 1.798912
581.7691, 1.485580
582.2512, 1.039856
582.7333, 0.5774460
583.2155, 9.0903997E-02
583.6975, 0.2290950
584.1796, 8.5693002E-02
584.6617, 0.2910230
585.1439, 0.5550080
585.6260, 0.5961380
586.1081, 0.6064220
586.5902, 0.7641830
587.0723, 0.9612880
587.5544, 0.9856260
588.0366, 0.3563080
588.5187, 3.7926000E-02
589.0008, 0.2591400
589.4829, 1.195427
589.9650, 1.778358
590.4471, 1.804047
590.9293, 1.766190
591.4114, 1.933723
591.8935, 2.354630
592.3756, 2.357933
592.8577, 1.833885
593.3398, 1.238617
593.8220, 1.115685
594.3041, 1.391983
594.7862, 1.452843
595.2683, 1.117653
595.7504, 0.7191850
596.2325, 0.7555850
596.7147, 1.077660
597.1968, 1.307602
597.6789, 1.124695
598.1610, 0.9289320
598.6431, 1.073601
599.1252, 1.467705
599.6074, 1.724998
600.0895, 1.689476
600.5716, 1.512779
601.0537, 1.227798
601.5358, 0.7974700
602.0179, 0.4815370
602.5001, 0.2937320
602.9822, 0.1928560
603.4643, 0.1770940
603.9464, 0.2880020
604.4285, 0.2631610
604.9106, 4.1350001E-03
605.3928, 0.2229690
605.8749, 0.2442700
606.3570, 1.317871
606.8391, 1.990646
607.3212, 1.823463
607.8033, 1.262138
608.2855, 0.9015810
608.7676, 0.7209320
609.2497, 0.6281810
609.7318, 0.5546040
610.2139, 0.5596240
610.6960, 0.7374040
611.1782, 1.083046
611.6603, 1.370934
612.1424, 1.510178
612.6245, 1.577316
613.1066, 1.623199
613.5887, 1.691628
614.0709, 1.659714
614.5530, 1.504883
615.0351, 1.290436
615.5172, 1.036644
615.9993, 0.7015000
616.4814, 0.5183410
616.9636, 0.5399480
617.4457, 0.6977540
617.9278, 0.9033890
618.4099, 1.144882
618.8920, 1.342529
619.3741, 1.543808
619.8563, 1.621742
620.3384, 1.186775
620.8205, 0.3808750
621.3026, 0.1290820
621.7847, 0.4192500
622.2668, 1.129723
622.7490, 1.267174
623.2311, 0.7131270
623.7132, 0.2468190
624.1953, 3.0533001E-02
624.6774, 7.0229001E-02
625.1595, 0.1930850
625.6417, 1.106606
626.1238, 1.643196
626.6059, 1.756355
627.0880, 1.543121
627.5701, 0.9841920
628.0522, 5.0809998E-03
628.5344, 0.5699390
629.0165, 0.5085600
629.4986, 4.8386000E-02
629.9807, 0.4913710
630.4628, 1.055565
630.9449, 1.383835
631.4271, 1.175919
631.9092, 0.7801670
632.3913, 0.5089420
632.8734, 0.3713610
633.3555, 0.4026180
633.8376, 0.8679050
634.3198, 1.311516
634.8019, 1.428146
635.2840, 1.115814
635.7661, 0.8452840
636.2482, 0.6317520
636.7303, 0.4975810
637.2125, 0.4950560
637.6946, 0.7116010
638.1767, 0.7720950
638.6588, 0.6132050
639.1409, 0.3847120
639.6230, 0.3856660
640.1052, 0.5863270
640.5873, 0.4497760
641.0694, 0.3355100
641.5515, 1.232246
642.0336, 1.278923
642.5157, 0.7012790
642.9979, 0.1888810
643.4800, 0.1297070
643.9621, 0.2172160
644.4442, 0.2739490
644.9263, 0.2991260
645.4084, 0.3164670
645.8906, 0.3349690
646.3727, 0.3630600
646.8548, 0.3418880
647.3369, 0.2509380
647.8190, 0.3466420
648.3011, 0.7963790
648.7833, 1.183655
649.2654, 1.136391
649.7475, 0.6053620
650.2296, 0.2390750
650.7117, 9.5779002E-02
651.1938, 2.9991001E-02
651.6760, 0.1544490
652.1581, 0.4129560
652.6402, 0.5977250
653.1223, 0.6750340
653.6044, 0.6509170
654.0865, 0.4950330
654.5687, 0.2511900
655.0508, 2.5630000E-03
655.5329, 0.3472370
656.0150, 0.5710830
656.4971, 0.5281450
656.9792, 0.2645490
657.4614, 2.9350000E-02
657.9435, 0.2353590
658.4256, 0.3645250
658.9077, 0.2146220
659.3898, 0.1909640
659.8719, 0.1506120
660.3541, 0.4434130
660.8362, 0.9590840
661.3183, 0.8710780
661.8004, 0.3333050
662.2825, 9.7153001E-02
662.7646, 0.4017720
663.2468, 0.5833590
663.7289, 0.6109620
664.2110, 0.4922940
664.6931, 0.2016750
665.1752, 0.3522720
665.6573, 0.8557430
666.1395, 1.212906
666.6216, 1.435631
667.1037, 1.537682
667.5858, 1.481049
668.0679, 1.331238
668.5500, 0.9174730
669.0322, 0.4930340
669.5143, 0.7224960
669.9964, 1.781342
670.4785, 2.617882
670.9606, 2.824211
671.4427, 2.652443
671.9249, 2.770760
672.4070, 3.157730
672.8891, 3.644211
673.3712, 4.088951
673.8533, 4.600731
674.3354, 5.418816
674.8176, 6.502647
675.2997, 7.366585
675.7818, 7.489601
676.2639, 7.517036
676.7460, 7.922112
677.2281, 8.937836
677.7103, 9.524750
678.1924, 9.202492
678.6745, 8.891212
679.1566, 9.286835
679.6387, 10.57397
680.1208, 11.99327
680.6030, 13.66151
681.0851, 15.07550
681.5672, 15.30602
682.0493, 14.67470
682.5314, 14.64684
683.0135, 15.68148
683.4957, 17.20654
683.9778, 18.85324
684.4599, 20.52847
684.9420, 21.99490
685.4241, 22.87099
685.9063, 23.85966
686.3884, 25.26550
686.8705, 27.02652
687.3526, 28.86069
687.8347, 31.07410
688.3168, 32.86919
688.7990, 33.84493
689.2811, 34.18715
689.7632, 35.01332
690.2453, 36.33356
690.7274, 38.04172
691.2095, 40.18466
691.6917, 42.64174
692.1738, 45.18620
692.6559, 47.77182
693.1380, 50.21044
693.6201, 52.28699
694.1022, 54.17560
694.5844, 56.20248
695.0665, 58.50316
695.5486, 60.16055
696.0307, 60.92551
696.5128, 60.86525
696.9949, 60.00427
697.4771, 58.05322
697.9592, 55.92553
698.4413, 53.44198
698.9234, 51.01956
699.4055, 49.20808
699.8876, 48.06507
700.3698, 47.05585
700.8519, 46.10806
701.3340, 45.17462
701.8161, 44.10103
702.2982, 43.01177
702.7803, 42.20423
703.2625, 41.72404
703.7446, 41.64861
704.2267, 42.25986
704.7088, 43.29408
705.1909, 44.18005
705.6730, 44.49952
706.1552, 44.92735
706.6373, 45.63238
707.1194, 46.59183
707.6015, 47.63818
708.0836, 48.72108
708.5657, 49.95854
