##NAMES=Mimetite
##RRUFFID=R130731
##IDEAL CHEMISTRY=Pb^2+^_5_(As^5+^O_4_)_3_Cl
##LOCALITY=Tsumeb mine, Tsumeb, Otavi District, Oshikoto, Namibia
##OWNER=RRUFF
##SOURCE=Bob Downs
##DESCRIPTION=Pale yellow transparent hexagonal prisms, monoclinic polytype
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R130731
597.3718, 87.11578
597.8539, 98.12842
598.3360, 107.0225
598.8181, 107.9790
599.3002, 108.5684
599.7823, 113.0797
600.2645, 121.8698
600.7466, 127.3085
601.2287, 123.8805
601.7108, 121.7277
602.1929, 127.5344
602.6750, 146.7023
603.1572, 156.9080
603.6393, 156.0956
604.1214, 149.8335
604.6035, 143.4360
605.0856, 136.9810
605.5677, 135.8610
606.0499, 143.1429
606.5320, 153.6509
607.0141, 159.6206
607.4962, 161.4964
607.9783, 160.8053
608.4604, 154.4779
608.9425, 148.3078
609.4246, 148.0968
609.9067, 153.8545
610.3889, 161.2988
610.8710, 170.5287
611.3531, 178.8519
611.8352, 184.7732
612.3173, 188.9067
612.7994, 189.3621
613.2816, 181.9816
613.7637, 173.7990
614.2458, 173.9077
614.7279, 186.9022
615.2100, 193.1559
615.6921, 187.8259
616.1743, 175.8681
616.6564, 168.3857
617.1385, 165.4819
617.6206, 167.1355
618.1027, 177.1142
618.5848, 189.9277
619.0670, 195.1490
619.5491, 193.3188
620.0312, 189.1226
620.5133, 182.8684
620.9954, 177.1630
621.4775, 174.4856
621.9597, 175.4016
622.4418, 178.0757
622.9239, 185.3224
623.4060, 192.3630
623.8881, 194.4302
624.3702, 186.5661
624.8524, 179.7632
625.3345, 174.5703
625.8166, 170.9122
626.2987, 168.7867
626.7808, 168.4346
627.2629, 167.9067
627.7451, 166.5942
628.2272, 164.7771
628.7093, 163.1008
629.1914, 161.5898
629.6735, 160.2609
630.1556, 158.8398
630.6378, 157.7316
631.1199, 158.1233
631.6020, 160.3058
632.0841, 161.8952
632.5662, 158.7439
633.0483, 155.1979
633.5305, 155.9108
634.0126, 166.5889
634.4947, 173.6760
634.9768, 171.8281
635.4589, 166.1378
635.9410, 164.3337
636.4232, 169.2373
636.9053, 172.3462
637.3874, 171.6828
637.8695, 167.8994
638.3516, 163.1129
638.8337, 157.2416
639.3159, 154.5432
639.7980, 159.2867
640.2801, 168.2147
640.7622, 172.7179
641.2443, 173.0338
641.7264, 171.5664
642.2086, 167.2597
642.6907, 163.3663
643.1728, 165.0131
643.6549, 175.2813
644.1370, 182.9831
644.6191, 179.8918
645.1013, 172.2801
645.5834, 167.3862
646.0655, 170.2521
646.5476, 172.6445
647.0297, 172.0733
647.5118, 170.2905
647.9940, 172.1088
648.4761, 177.8906
648.9582, 185.7520
649.4403, 197.7160
649.9224, 210.6348
650.4045, 212.2554
650.8867, 203.4757
651.3688, 195.2393
651.8509, 194.9940
652.3330, 198.0609
652.8151, 199.1392
653.2972, 198.9221
653.7794, 200.4120
654.2615, 205.0259
654.7436, 209.2356
655.2257, 211.3368
655.7078, 211.6849
656.1899, 211.9818
656.6721, 210.4476
657.1542, 209.0034
657.6363, 210.5146
658.1184, 217.1684
658.6005, 221.0324
659.0826, 220.4694
659.5648, 217.0555
660.0469, 213.4129
660.5290, 209.8316
661.0111, 208.7048
661.4932, 212.0344
661.9753, 216.9172
662.4575, 218.1648
662.9396, 216.9141
663.4217, 217.6889
663.9038, 228.0885
664.3859, 237.5902
664.8680, 236.3849
665.3502, 222.9883
665.8323, 212.7797
666.3144, 214.6513
666.7965, 217.1677
667.2786, 212.3859
667.7607, 193.0009
668.2429, 186.4955
668.7250, 197.8702
669.2071, 213.4479
669.6892, 216.5503
670.1713, 207.4728
670.6534, 198.1177
671.1355, 189.8203
671.6176, 184.5990
672.0997, 187.0807
672.5818, 194.7448
673.0640, 201.4001
673.5461, 206.9747
674.0282, 208.6872
674.5103, 201.2636
674.9924, 187.5975
675.4745, 178.3859
