##NAMES=Blatonite
##RRUFFID=R060594
##IDEAL CHEMISTRY=UO_2_CO_3_&#183;H_2_O
##LOCALITY=Jomac mine, San Juan County, Utah, USA
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Yellow acicular crystals. No diffraction spots, just some streaks
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R060594
639.316, 169.494
639.798, 156.910
640.280, 142.871
640.763, 119.699
641.245, 96.045
641.727, 82.463
642.209, 79.957
642.691, 95.211
643.173, 167.037
643.655, 236.732
644.137, 246.711
644.619, 169.494
645.102, 123.133
645.584, 156.430
646.066, 220.607
646.548, 275.326
647.030, 327.914
647.512, 349.178
647.994, 324.844
648.476, 278.949
648.958, 247.994
649.441, 231.090
649.923, 239.455
650.405, 285.893
650.887, 351.150
651.369, 405.695
651.851, 446.283
652.333, 461.088
652.815, 408.293
653.297, 348.492
653.780, 351.662
654.262, 416.643
654.744, 461.787
655.226, 446.416
655.708, 414.322
656.190, 390.680
656.672, 372.529
657.154, 373.359
657.636, 409.148
658.119, 450.115
658.601, 459.357
659.083, 431.635
659.565, 392.375
660.047, 343.857
660.529, 297.117
661.011, 272.188
661.494, 267.369
661.976, 271.889
662.458, 292.861
662.940, 311.123
663.422, 300.422
663.904, 268.049
664.386, 245.254
664.868, 238.750
665.350, 246.018
665.833, 271.521
666.315, 323.281
666.797, 350.793
667.279, 324.760
667.761, 291.373
668.243, 281.143
668.725, 302.467
669.207, 307.736
669.690, 286.566
670.172, 259.275
670.654, 253.232
671.136, 267.500
671.618, 289.141
672.100, 324.064
672.582, 350.043
673.064, 333.053
673.546, 291.270
674.029, 257.430
674.511, 264.455
674.993, 263.189
675.475, 214.506
675.957, 130.689
676.439, 80.162
676.921, 97.531
677.403, 125.773
677.885, 146.127
678.368, 157.781
678.850, 168.125
679.332, 175.295
679.814, 187.684
680.296, 213.686
680.778, 249.539
681.260, 274.580
681.742, 285.234
682.224, 300.438
682.707, 354.436
683.189, 417.506
683.671, 439.939
684.153, 378.170
684.635, 328.699
685.117, 352.783
685.599, 411.678
686.081, 441.033
686.563, 394.967
687.046, 366.068
687.528, 375.744
688.010, 412.225
688.492, 430.689
688.974, 429.137
689.456, 418.951
689.938, 403.816
690.420, 386.264
690.903, 365.467
691.385, 340.855
691.867, 323.732
692.349, 328.576
692.831, 345.479
693.313, 362.504
693.795, 377.766
694.277, 384.020
694.760, 371.818
695.242, 358.113
695.724, 353.932
696.206, 387.299
696.688, 382.586
697.170, 320.299
697.652, 242.285
698.134, 199.023
698.617, 192.062
699.099, 197.131
699.581, 221.951
700.063, 246.291
700.545, 219.848
701.027, 160.127
701.509, 125.557
701.991, 169.482
702.473, 221.146
702.956, 214.113
703.438, 165.721
703.920, 129.129
704.402, 129.014
704.884, 138.342
705.366, 149.168
705.848, 160.762
706.330, 167.965
706.812, 174.035
707.295, 168.941
707.777, 141.230
708.259, 92.490
708.741, 59.582
709.223, 43.139
709.705, 37.488
710.187, 40.793
710.669, 50.830
711.151, 66.074
711.634, 88.758
712.116, 104.199
712.598, 94.773
713.080, 77.102
713.562, 69.211
714.044, 58.158
714.526, 80.650
715.008, 170.557
715.490, 278.191
715.973, 321.410
716.455, 287.033
716.937, 238.588
717.419, 180.600
717.901, 126.613
718.383, 114.518
718.865, 139.045
719.347, 167.021
719.830, 202.297
720.312, 220.016
720.794, 170.229
721.276, 72.393
721.758, 11.861
722.240, 75.625
722.722, 138.393
723.204, 125.115
723.687, 26.383
724.169, 11.199
724.651, 50.359
725.133, 111.643
725.615, 109.246
726.097, 40.080
726.579, 1.018
727.061, 13.596
727.544, 1.971
728.026, 55.168
728.508, 128.002
728.990, 156.662
729.472, 127.900
729.954, 77.951
730.436, 7.131
730.918, 60.812
731.400, 101.826
731.883, 108.156
732.365, 88.551
732.847, 18.859
733.329, 59.328
733.811, 81.705
734.293, 32.736
734.775, 0.117
735.257, 3.984
735.739, 24.291
736.222, 20.643
736.704, 1.727
737.186, 19.340
737.668, 11.357
738.150, 4.424
738.632, 32.527
739.114, 82.195
739.596, 113.461
740.078, 82.850
740.561, 59.736
741.043, 82.674
741.525, 142.527
742.007, 160.041
742.489, 119.225
742.971, 74.402
743.453, 53.025
743.935, 51.127
