##NAMES=Cuprite
##RRUFFID=R140763
##IDEAL CHEMISTRY=Cu^1+^_2_O
##LOCALITY=Milpillas mine, Municipio de Santa Cruz, Sonora, Mexico
##OWNER=RRUFF
##SOURCE=Marcus Origlieri
##DESCRIPTION=Semimetallic deep red, massive
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction.
##URL=rruff.info/R140763
437.3893, 10.56381
437.8715, 9.500031
438.3536, 8.465698
438.8357, 7.587860
439.3178, 7.220367
439.7999, 8.417297
440.2820, 9.656464
440.7642, 9.200989
441.2463, 6.949799
441.7284, 4.965790
442.2105, 4.609436
442.6926, 4.943054
443.1747, 5.065704
443.6569, 4.544556
444.1390, 4.002502
444.6211, 3.586426
445.1032, 3.288666
445.5853, 3.084961
446.0674, 3.058472
446.5496, 3.058563
447.0317, 3.032959
447.5138, 2.976807
447.9959, 2.958496
448.4780, 3.292419
448.9601, 3.469818
449.4423, 2.934601
449.9244, 1.240051
450.4065, 0.2363890
450.8886, 1.407410
451.3707, 2.192261
451.8528, 2.075287
452.3350, 0.6911620
452.8171, 0.4890140
453.2992, 0.4171450
453.7813, 0.9361880
454.2634, 1.369049
454.7455, 0.6524660
455.2277, 0.3688960
455.7098, 0.4291690
456.1919, 0.2995910
456.6740, 0.5350040
457.1561, 0.3843380
457.6382, 1.828491
458.1204, 2.646912
458.6025, 2.918243
459.0846, 3.133423
459.5667, 3.876740
460.0488, 4.693024
460.5309, 4.812317
461.0131, 3.924591
461.4952, 3.300842
461.9773, 4.419312
462.4594, 6.237427
462.9415, 7.248016
463.4236, 6.038788
463.9058, 4.665009
464.3879, 3.980652
464.8700, 3.956116
465.3521, 4.062408
465.8342, 3.858582
466.3163, 3.977142
466.7985, 4.868713
467.2806, 7.487091
467.7627, 9.152252
468.2448, 9.137787
468.7269, 8.412537
469.2090, 8.399658
469.6912, 9.650696
470.1733, 10.63858
470.6554, 10.95230
471.1375, 10.66333
471.6196, 10.41537
472.1017, 10.11044
472.5839, 10.09683
473.0660, 10.99683
473.5481, 12.83054
474.0302, 13.30475
474.5123, 11.90561
474.9944, 10.02481
475.4766, 9.899963
475.9587, 11.28125
476.4408, 12.56287
476.9229, 13.19321
477.4050, 13.25998
477.8871, 12.64294
478.3693, 11.49634
478.8514, 10.80487
479.3335, 11.48068
479.8156, 12.78735
480.2977, 13.87582
480.7798, 14.52963
481.2620, 14.89337
481.7441, 15.26984
482.2262, 15.54688
482.7083, 15.56287
483.1904, 14.86502
483.6725, 14.02881
484.1547, 13.21423
484.6368, 12.45850
485.1189, 12.06726
485.6010, 12.10956
486.0831, 12.51801
486.5652, 13.32748
487.0474, 15.06549
487.5295, 16.03644
488.0116, 16.02914
488.4937, 15.41217
488.9758, 14.63254
489.4579, 13.61649
489.9401, 12.63043
490.4222, 11.57007
490.9043, 10.58798
491.3864, 10.59027
491.8685, 11.76184
492.3506, 12.71741
492.8328, 12.05905
493.3149, 10.25528
493.7970, 9.693542
494.2791, 10.75269
494.7612, 12.19513
495.2433, 12.46466
495.7255, 11.75476
496.2076, 10.78027
496.6897, 9.535278
497.1718, 8.584229
497.6539, 8.736176
498.1360, 9.738647
498.6182, 10.61038
499.1003, 10.90744
499.5824, 10.83408
500.0645, 10.36063
500.5466, 9.318909
501.0287, 8.723297
501.5109, 9.136444
501.9930, 9.914154
502.4751, 10.45032
502.9572, 10.69769
503.4393, 10.71045
503.9214, 10.42047
504.4036, 9.823059
504.8857, 8.971893
505.3678, 7.456482
505.8499, 6.444000
506.3320, 6.652130
506.8141, 8.222839
507.2963, 8.819580
507.7784, 8.214050
508.2605, 7.335449
508.7426, 7.100372
509.2247, 7.448059
509.7068, 7.806000
510.1890, 8.098450
510.6711, 8.307892
511.1532, 8.465546
511.6353, 8.587799
512.1174, 8.595703
512.5995, 8.300323
513.0817, 7.856506
513.5638, 7.639221
514.0459, 7.635223
514.5280, 7.380554
515.0101, 5.972534
515.4922, 4.513672
515.9744, 4.151825
516.4565, 5.827850
516.9386, 7.229431
517.4207, 7.420441
517.9028, 6.897827
518.3849, 6.476471
518.8671, 6.516205
519.3492, 6.419281
519.8313, 5.953674
520.3134, 5.157379
520.7955, 4.667999
521.2776, 4.661652
521.7598, 4.699493
522.2419, 4.499329
522.7240, 3.990204
523.2061, 3.596161
523.6882, 3.349670
524.1703, 3.170380
524.6525, 2.802460
525.1346, 2.285370
525.6167, 2.372345
526.0988, 3.657257
526.5809, 5.205933
527.0630, 5.070251
527.5452, 3.497406
528.0273, 1.921387
528.5094, 0.8877260
528.9915, 0.4726560
529.4736, 1.151581
529.9557, 3.015289
530.4379, 4.307129
530.9200, 3.409943
531.4021, 1.704865
531.8842, 0.5634460
532.3663, 0.7065730
532.8484, 0.8656920
533.3306, 0.6683350
533.8127, 0.2719120
534.2948, 4.9439999E-03
534.7769, 0.3103940
535.2590, 0.2583010
535.7411, 0.5617070
536.2233, 2.107819
536.7054, 3.042145
537.1875, 3.322510
537.6696, 3.050720
538.1517, 1.950531
538.6339, 0.1058350
539.1160, 0.9648130
539.5981, 0.2278140
540.0802, 0.9245000
540.5623, 0.8004460
541.0444, 0.3785400
541.5266, 1.382629
542.0087, 1.847229
542.4908, 1.916168
542.9729, 1.575256
543.4550, 0.9318240
543.9371, 0.4371340
544.4193, 0.5159300
544.9014, 0.7358090
545.3835, 0.6989750
545.8656, 0.3536680
546.3477, 8.5693002E-02
546.8298, 0.2056880
547.3120, 0.2015990
547.7941, 0.3777160
548.2762, 2.692291
548.7583, 4.044708
549.2404, 3.606506
549.7225, 2.278503
550.2047, 1.655457
