##NAMES=Hydrotungstite
##RRUFFID=R120058
##IDEAL CHEMISTRY=WO_2_(OH)_2_&#183;H_2_O
##LOCALITY=Mundo Nuevo, La Libertad, Peru
##OWNER=RRUFF
##SOURCE=Bob Jenkins
##DESCRIPTION=Greenish yellow cubes, associated with ferberite
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R120058
640.2524, 838.4617
640.7345, 861.8766
641.2166, 885.5908
641.6987, 909.6251
642.1808, 935.0540
642.6630, 963.0051
643.1451, 991.1508
643.6272, 1017.370
644.1093, 1042.140
644.5914, 1066.558
645.0735, 1090.227
645.5557, 1114.045
646.0378, 1139.135
646.5199, 1164.352
647.0020, 1187.703
647.4841, 1208.860
647.9662, 1229.250
648.4484, 1250.091
648.9305, 1271.210
649.4126, 1292.560
649.8947, 1315.121
650.3768, 1335.722
650.8589, 1353.416
651.3411, 1369.304
651.8232, 1384.398
652.3053, 1398.437
652.7874, 1410.093
653.2695, 1418.015
653.7516, 1423.862
654.2338, 1429.536
654.7159, 1434.867
655.1980, 1439.081
655.6801, 1441.950
656.1622, 1443.733
656.6443, 1445.013
657.1265, 1445.926
