##NAMES=Sahamalite-(Ce)
##RRUFFID=R080043
##IDEAL CHEMISTRY=Ce_2_Mg(CO_3_)_4_
##LOCALITY=Mountain Pass Mine (Sulfide Queen mine; Bastnaesite deposit; Mountain Pass carbonatite), Ivanpah, Mountain Pass District, San Bernardino County, California, USA
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Dull white, semitransparent flat crystal associated with dolomite.
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R080043
494.7386, 0.6976450
495.2207, 0.7371600
495.7029, 0.7816200
496.1850, 0.8832870
496.6671, 0.9844020
497.1492, 0.9755330
497.6313, 0.8114400
498.1134, 0.7145500
498.5956, 0.8496720
499.0777, 1.097116
499.5598, 1.260281
500.0419, 1.309948
500.5240, 1.345320
501.0061, 1.465551
501.4883, 1.653929
501.9704, 1.698496
502.4525, 1.401062
502.9346, 1.209286
503.4167, 1.350409
503.8988, 1.643570
504.3810, 1.839163
504.8631, 1.865013
505.3452, 1.825403
505.8273, 1.855558
506.3094, 1.966515
506.7915, 2.089495
507.2737, 2.298700
507.7558, 2.441578
508.2379, 2.406496
508.7200, 2.285852
509.2021, 2.236559
509.6842, 2.332279
510.1664, 2.488132
510.6485, 2.558161
511.1306, 2.529461
511.6127, 2.501537
512.0948, 2.473955
512.5769, 2.467918
513.0590, 2.532978
513.5411, 2.637550
514.0233, 2.666822
514.5054, 2.452637
514.9875, 2.219353
515.4696, 2.369755
515.9517, 2.876472
516.4338, 3.195715
516.9160, 3.033611
517.3981, 2.668261
517.8802, 2.605291
518.3623, 2.901852
518.8444, 3.081865
519.3265, 2.937984
519.8087, 2.705482
520.2908, 2.578428
520.7729, 2.568790
521.2550, 2.621859
521.7371, 2.705915
522.2192, 2.819599
522.7014, 2.958418
523.1835, 3.203730
523.6656, 3.362791
524.1477, 3.384636
524.6298, 3.350792
525.1119, 3.345236
525.5941, 3.359529
526.0762, 3.295280
526.5583, 3.027481
527.0404, 2.611696
527.5225, 2.445692
528.0046, 2.656818
528.4868, 2.867388
528.9689, 2.979795
529.4510, 3.029535
529.9331, 3.029613
530.4152, 2.983124
530.8973, 2.941998
531.3795, 2.975359
531.8616, 3.046724
532.3437, 3.031990
532.8258, 2.905426
533.3079, 2.760672
533.7900, 2.631056
534.2722, 2.538830
534.7543, 2.544401
535.2364, 2.717787
535.7185, 2.844576
536.2006, 2.769796
536.6827, 2.625292
537.1649, 2.636372
537.6470, 2.835470
538.1291, 3.026840
538.6112, 3.013432
539.0933, 2.785503
539.5754, 2.632149
540.0576, 2.690182
540.5397, 2.698269
541.0218, 2.537050
541.5039, 2.319292
541.9860, 2.172083
542.4681, 2.128939
542.9503, 2.167694
543.4324, 2.300438
543.9145, 2.528376
544.3966, 2.636148
544.8787, 2.541302
545.3608, 2.443726
545.8430, 2.450583
546.3251, 2.503344
546.8072, 2.526440
547.2893, 2.495644
547.7714, 2.419748
548.2535, 2.266409
548.7357, 2.071020
549.2178, 1.961632
549.6999, 1.966311
550.1820, 2.009485
550.6641, 2.033897
551.1462, 2.041878
551.6284, 2.059589
552.1105, 2.106632
552.5926, 2.144001
553.0747, 2.151806
553.5568, 2.141085
554.0389, 2.128555
554.5211, 2.118423
555.0032, 2.106909
