##NAMES=Rudenkoite
##RRUFFID=R070048
##IDEAL CHEMISTRY=Sr_3_Al_3.5_Si_3.5_O_10_(OH,O)_8_Cl_2_&#183;H_2_O
##LOCALITY=80 km SEE of Aldan, Yakutia, Russia
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=White fragment embedded in epoxy, co-type material
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R070048
682.9199, 80.88184
683.4020, 63.37793
683.8841, 116.7607
684.3662, 180.9326
684.8483, 214.6562
685.3304, 204.1953
685.8126, 196.5215
686.2947, 196.8545
686.7768, 198.0674
687.2589, 197.1123
687.7410, 197.2139
688.2231, 185.7578
688.7053, 154.7246
689.1874, 125.6396
689.6695, 141.8975
690.1516, 192.5303
690.6337, 214.3193
691.1158, 178.2607
691.5980, 127.1699
692.0801, 101.1924
692.5622, 95.63379
693.0443, 99.47559
693.5264, 123.5703
694.0085, 141.0234
694.4907, 132.7617
694.9728, 105.2607
695.4549, 97.37793
695.9370, 127.8066
696.4191, 153.2832
696.9012, 155.5703
697.3834, 135.0264
697.8655, 124.1963
698.3476, 125.3838
698.8297, 129.4541
699.3118, 129.6514
699.7939, 131.2832
700.2761, 137.8721
700.7582, 149.4561
701.2403, 162.3760
701.7224, 184.8594
702.2045, 202.8428
702.6866, 192.9219
703.1688, 125.9189
703.6509, 88.97266
704.1330, 135.3516
704.6151, 211.1455
705.0972, 251.4717
705.5793, 239.1221
706.0615, 228.0820
706.5436, 222.7119
707.0257, 220.5986
707.5078, 215.3828
707.9899, 206.8457
708.4720, 204.4668
708.9542, 212.7568
709.4363, 229.4258
709.9184, 246.3770
710.4005, 265.1406
710.8826, 293.6855
711.3647, 358.8174
711.8469, 417.4873
712.3290, 440.0625
712.8111, 429.0107
713.2932, 413.2666
713.7753, 376.6768
