##NAMES=Simonkolleite
##RRUFFID=R130616
##IDEAL CHEMISTRY=Zn_5_(OH)_8_Cl_2_&#183;H_2_O
##LOCALITY=Rowley mine, Maricopa County, Arizona, USA
##OWNER=RRUFF
##SOURCE=Bob Jenkins
##DESCRIPTION=Colorless tabular crystals, associated with the blue platy crystals with the chemistry CuZnCl(OH)3.
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R130616
593.9252, 1.7472999E-02
594.4073, 0.4606690
594.8894, 0.9778570
595.3715, 1.044046
595.8536, 0.5217170
596.3358, 0.1669150
596.8179, 4.2304002E-02
597.3000, 8.7393999E-02
597.7821, 0.2284180
598.2642, 0.6429450
598.7463, 0.7437850
599.2285, 0.4004330
599.7106, 4.4907000E-02
600.1927, 0.1523450
600.6748, 6.3606001E-02
601.1569, 0.2111960
601.6390, 0.2681450
602.1212, 0.2682170
602.6033, 0.1687070
603.0854, 4.2984001E-02
603.5675, 2.4436999E-02
604.0496, 0.1788590
604.5317, 0.2875430
605.0139, 0.1781350
605.4960, 1.6549001E-02
605.9781, 9.5778003E-02
606.4602, 4.1513000E-02
606.9423, 3.5355002E-02
607.4244, 5.1236998E-02
607.9066, 3.0642999E-02
608.3887, 8.9514002E-02
608.8708, 0.4126600
609.3529, 0.5455630
609.8350, 0.3613720
610.3171, 7.8289002E-02
610.7993, 8.0577999E-02
611.2814, 0.1801440
611.7635, 0.3241310
612.2456, 0.2816720
612.7277, 0.1224810
613.2098, 1.8983999E-02
613.6920, 0.1433310
614.1741, 3.7610002E-02
614.6562, 5.7232998E-02
615.1383, 0.1150200
615.6204, 9.0962000E-02
616.1025, 3.2699999E-04
616.5847, 7.1656004E-02
617.0668, 8.1955001E-02
617.5489, 9.0391003E-02
618.0310, 9.6033998E-02
618.5131, 1.0699000E-02
618.9952, 2.1492001E-02
619.4774, 3.9306000E-02
619.9595, 0.2008710
620.4416, 0.2755980
620.9237, 0.1671070
621.4058, 0.1798700
621.8879, 0.4356820
622.3701, 0.6422860
622.8522, 0.7640180
623.3343, 0.7853580
623.8164, 0.6286150
624.2985, 0.3009950
624.7806, 1.0608000E-02
625.2628, 7.3825002E-02
625.7448, 7.2140000E-03
626.2269, 0.1298990
626.7090, 0.3573340
627.1912, 0.4550470
627.6733, 0.2515240
628.1554, 7.1629003E-02
628.6375, 4.1060999E-02
629.1196, 9.9760003E-02
629.6017, 0.2618840
630.0839, 0.2100250
630.5660, 0.1315600
