##NAMES=Peretaite
##RRUFFID=R060459
##IDEAL CHEMISTRY=CaSb^3+^_4_O_4_(SO_4_)_2_(OH)_2_&#183;2H_2_O
##LOCALITY=Pereta mine, Grosseto, Tuscany, Italy
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Colorless thin plates, with red incrustations of valentinite
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R060459
685.9678, 11.41699
686.4499, 10.24597
686.9320, 8.783203
687.4141, 9.778564
687.8962, 15.12219
688.3784, 19.26025
688.8605, 20.71228
689.3426, 20.30774
689.8247, 21.11377
690.3068, 23.23279
690.7889, 24.55542
691.2711, 23.16614
691.7532, 20.65869
692.2353, 20.89978
692.7174, 23.34265
693.1995, 24.74463
693.6816, 21.62402
694.1638, 17.96570
694.6459, 17.16528
695.1280, 19.61743
695.6101, 21.27258
696.0922, 19.88635
696.5743, 18.53442
697.0565, 19.08435
697.5386, 22.34644
698.0207, 23.94714
698.5028, 23.03455
698.9849, 22.31165
699.4670, 25.32361
699.9492, 31.50024
700.4313, 34.52246
700.9135, 33.33850
701.3956, 30.64648
701.8777, 28.57092
702.3598, 27.13379
702.8419, 26.35962
703.3240, 26.10791
703.8062, 26.72693
704.2883, 29.05481
704.7704, 32.14502
705.2525, 34.58813
705.7346, 35.69580
706.2167, 36.80017
706.6989, 38.61707
707.1810, 40.27869
707.6631, 39.25098
708.1452, 34.90784
708.6273, 31.98645
709.1094, 32.35645
709.5916, 34.65417
710.0737, 35.70850
710.5558, 35.80579
711.0379, 36.25024
711.5200, 38.50842
712.0021, 40.88928
712.4843, 41.85413
712.9664, 41.55176
713.4485, 40.96716
713.9306, 40.19812
714.4127, 39.43152
714.8948, 38.68555
715.3770, 37.93909
715.8591, 37.68420
716.3412, 38.56787
716.8233, 38.67322
717.3054, 36.46350
717.7875, 32.04517
718.2697, 28.99805
718.7518, 27.37659
719.2339, 26.23950
719.7160, 25.05005
720.1981, 23.73267
720.6802, 22.17542
721.1624, 20.17444
721.6445, 18.04749
722.1266, 14.54578
722.6087, 11.72449
723.0908, 11.71887
723.5729, 17.45166
724.0551, 20.57117
724.5372, 19.39709
725.0193, 16.72461
725.5014, 15.40637
725.9835, 15.58545
726.4656, 15.25757
726.9478, 14.17822
727.4299, 12.64929
727.9120, 10.50354
728.3941, 8.230957
728.8762, 8.287964
729.3583, 12.70874
729.8405, 16.93176
730.3226, 16.76196
730.8047, 13.95288
731.2868, 11.41040
