##NAMES=Euxenite-(Y)
##RRUFFID=R080101
##IDEAL CHEMISTRY=(Y,Ca,Ce,U,Th)(Nb,Ta,Ti)_2_O_6_
##LOCALITY=Betafo, Madagascar
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Khaki colored fragment from metamict sample R060856, after heating at T = 1000 C for 24 hours
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction.
##URL=rruff.info/R080101
612.1759, 1441.854
612.6580, 1499.462
613.1401, 1563.278
613.6223, 1632.024
614.1044, 1706.972
614.5865, 1783.846
615.0686, 1857.340
615.5507, 1926.885
616.0328, 2003.771
616.5150, 2089.609
616.9971, 2182.006
617.4792, 2276.353
617.9613, 2374.983
618.4434, 2483.330
618.9255, 2602.652
619.4077, 2729.896
619.8898, 2866.428
620.3719, 3010.873
620.8540, 3159.452
621.3361, 3304.432
621.8182, 3455.143
622.3004, 3617.953
622.7825, 3791.299
623.2646, 3963.477
623.7467, 4128.688
624.2288, 4293.267
624.7109, 4458.403
625.1931, 4620.911
625.6752, 4795.910
626.1573, 4990.312
626.6394, 5185.880
627.1215, 5361.245
627.6036, 5515.202
628.0858, 5671.428
628.5679, 5834.359
629.0500, 5998.510
629.5321, 6154.478
630.0142, 6303.884
630.4963, 6445.450
630.9785, 6583.041
631.4606, 6712.535
631.9427, 6828.811
632.4248, 6936.628
632.9069, 7049.563
633.3890, 7180.416
633.8712, 7307.869
634.3533, 7423.254
634.8354, 7525.598
635.3175, 7625.714
635.7996, 7726.922
636.2817, 7822.801
636.7639, 7911.070
637.2460, 7989.893
637.7281, 8063.597
638.2102, 8133.303
638.6923, 8198.141
639.1744, 8258.649
639.6566, 8312.716
640.1387, 8356.588
640.6208, 8386.896
641.1029, 8408.471
641.5850, 8426.609
642.0671, 8439.664
642.5493, 8445.787
643.0314, 8440.139
643.5135, 8430.624
643.9956, 8426.300
644.4777, 8422.395
644.9598, 8404.170
645.4420, 8360.760
645.9241, 8310.533
646.4062, 8259.405
646.8883, 8206.828
647.3704, 8145.631
647.8525, 8075.922
648.3347, 7999.959
648.8168, 7918.669
649.2989, 7831.603
649.7810, 7740.148
650.2631, 7644.871
650.7452, 7543.301
651.2274, 7429.464
651.7095, 7308.074
652.1916, 7188.484
652.6737, 7073.838
653.1558, 6957.021
653.6379, 6835.505
654.1201, 6708.253
654.6022, 6573.086
655.0843, 6427.341
655.5664, 6275.282
656.0485, 6118.776
656.5306, 5957.069
657.0128, 5786.279
657.4949, 5600.586
657.9770, 5418.175
658.4591, 5244.835
658.9412, 5078.479
659.4233, 4911.881
659.9055, 4744.986
660.3876, 4575.162
660.8697, 4398.092
661.3518, 4216.934
661.8339, 4039.617
662.3160, 3865.767
662.7982, 3690.980
663.2803, 3510.850
663.7624, 3328.912
664.2445, 3149.158
664.7266, 2970.972
665.2087, 2797.111
665.6909, 2628.144
666.1730, 2464.307
666.6551, 2306.083
667.1372, 2155.508
667.6193, 2004.771
668.1014, 1851.799
668.5836, 1701.636
669.0657, 1563.255
669.5478, 1438.130
670.0299, 1312.372
670.5120, 1183.385
670.9941, 1052.220
671.4763, 916.6729
671.9584, 779.6719
672.4405, 651.2773
672.9226, 537.3555
673.4047, 432.1807
673.8868, 333.0137
674.3690, 239.0752
674.8511, 146.1504
675.3332, 43.72168
675.8153, 49.70508
676.2974, 124.1084
676.7795, 178.5684
677.2617, 234.6816
677.7438, 296.3799
678.2259, 354.0645
678.7080, 404.0879
679.1901, 446.5186
679.6722, 476.1338
680.1544, 491.7129
680.6365, 499.6436
681.1186, 504.7217
681.6007, 506.5684
682.0828, 502.8447
682.5649, 493.9893
683.0471, 478.3359
683.5292, 457.3584
684.0113, 429.2275
684.4934, 393.4717
684.9755, 346.4131
685.4576, 295.8125
685.9398, 244.4697
686.4219, 189.1289
686.9040, 124.8496
687.3861, 53.94727
687.8682, 31.06250
688.3503, 133.9043
688.8325, 250.0645
689.3146, 362.5762
689.7967, 470.6680
690.2788, 586.0820
