##NAMES=Stringhamite
##RRUFFID=R060934
##IDEAL CHEMISTRY=CaCuSiO_4_&#183;H_2_O
##LOCALITY=Santos mine, Tierra Amarilla, Chile
##OWNER=RRUFF
##SOURCE=Bob Jenkins
##DESCRIPTION=Azure blue crust, there is no diffraction from this material
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R060934
571.3375, 2789.808
571.8196, 2741.786
572.3017, 2694.114
572.7838, 2638.829
573.2659, 2563.873
573.7480, 2484.904
574.2302, 2414.295
574.7123, 2363.089
575.1944, 2295.108
575.6765, 2189.091
576.1586, 2070.520
576.6407, 1965.571
577.1229, 1885.601
577.6050, 1799.496
578.0871, 1700.658
578.5692, 1594.177
579.0513, 1500.522
579.5334, 1422.139
580.0156, 1346.970
580.4977, 1268.681
580.9798, 1189.118
581.4619, 1118.414
581.9440, 1057.474
582.4261, 994.5905
582.9083, 912.3190
583.3904, 824.5212
583.8725, 752.9283
584.3546, 704.1126
584.8367, 664.0930
585.3188, 623.0793
585.8010, 583.9941
586.2831, 551.0803
586.7652, 532.1824
587.2473, 512.7427
587.7294, 487.7094
588.2115, 457.8682
588.6937, 428.3856
589.1758, 401.4567
589.6579, 372.7145
590.1400, 338.4042
590.6221, 296.1788
591.1042, 266.0624
591.5864, 251.7467
592.0685, 242.1768
592.5506, 226.3015
593.0327, 204.5950
593.5148, 186.9932
593.9969, 176.2006
594.4791, 166.8654
594.9612, 148.7993
595.4433, 125.3092
595.9254, 106.5758
596.4075, 96.97998
596.8896, 94.39435
597.3718, 102.4882
597.8539, 118.1982
598.3360, 125.6455
598.8181, 111.4188
599.3002, 92.35187
599.7823, 77.53418
600.2645, 67.99988
600.7466, 61.99823
601.2287, 63.66266
601.7108, 65.56696
602.1929, 60.57697
602.6750, 43.94031
603.1572, 34.01770
603.6393, 35.49554
604.1214, 41.11676
604.6035, 33.16705
605.0856, 11.10468
605.5677, 3.527466
606.0499, 1.818909
606.5320, 17.48480
607.0141, 22.08118
607.4962, 16.77490
607.9783, 10.30756
608.4604, 9.455933
608.9425, 10.01080
609.4246, 7.312927
609.9067, 0.2891240
610.3889, 6.712585
610.8710, 13.86688
611.3531, 18.75104
611.8352, 19.19171
612.3173, 5.306396
612.7994, 0.4715580
613.2816, 7.595947
613.7637, 22.59650
614.2458, 31.94891
614.7279, 35.25952
615.2100, 33.75226
615.6921, 25.83392
616.1743, 13.57465
616.6564, 7.210571
617.1385, 7.117615
617.6206, 8.193054
618.1027, 7.070923
618.5848, 4.549988
619.0670, 2.198120
619.5491, 7.6355003E-02
620.0312, 0.9311520
620.5133, 4.534607
620.9954, 9.593079
621.4775, 4.703613
621.9597, 22.48853
622.4418, 40.89874
622.9239, 32.34802
623.4060, 10.42773
623.8881, 3.300720
624.3702, 0.6087040
624.8524, 2.962158
625.3345, 6.028809
625.8166, 8.216064
626.2987, 6.704163
626.7808, 0.3718260
627.2629, 5.157104
627.7451, 0.1693120
628.2272, 11.95764
628.7093, 9.045776
629.1914, 9.773010
629.6735, 27.83990
630.1556, 27.04187
630.6378, 16.21686
631.1199, 9.978088
631.6020, 11.50543
632.0841, 15.01129
632.5662, 20.97900
633.0483, 25.16431
633.5305, 22.02216
634.0126, 2.949402
634.4947, 20.68787
634.9768, 16.54712
635.4589, 6.5857001E-02
635.9410, 1.371277
636.4232, 37.05804
636.9053, 60.73608
637.3874, 51.12067
637.8695, 13.25299
638.3516, 6.316772
638.8337, 35.20532
639.3159, 62.00250
639.7980, 52.94543
640.2801, 20.23370
640.7622, 4.507446
641.2443, 9.412170
641.7264, 19.31439
642.2086, 22.52350
642.6907, 21.64636
643.1728, 19.72864
643.6549, 15.97345
644.1370, 14.28998
644.6191, 19.00269
645.1013, 26.14081
645.5834, 29.10138
646.0655, 22.53699
646.5476, 16.99036
647.0297, 13.44177
647.5118, 12.09534
647.9940, 14.78864
648.4761, 22.84967
648.9582, 30.56866
649.4403, 35.47992
649.9224, 37.72668
650.4045, 38.30872
650.8867, 37.20477
651.3688, 35.70074
651.8509, 33.99164
652.3330, 32.75458
652.8151, 34.28790
653.2972, 40.05786
653.7794, 43.40509
654.2615, 34.33826
654.7436, 22.27734
655.2257, 17.73499
655.7078, 31.89423
656.1899, 43.20551
656.6721, 48.02283
657.1542, 48.45758
657.6363, 47.64264
658.1184, 44.62170
658.6005, 42.53052
659.0826, 41.40607
659.5648, 42.06366
660.0469, 50.75836
660.5290, 67.76837
661.0111, 79.14471
661.4932, 70.10510
661.9753, 51.96649
662.4575, 47.40039
662.9396, 56.23792
663.4217, 65.25037
663.9038, 65.18518
664.3859, 61.63867
664.8680, 59.92725
665.3502, 62.09808
665.8323, 62.05695
666.3144, 52.98383
666.7965, 43.94971
667.2786, 44.38196
667.7607, 61.73871
668.2429, 72.99121
668.7250, 74.06531
669.2071, 70.04663
669.6892, 71.78833
670.1713, 80.16681
670.6534, 84.36371
671.1355, 78.42578
671.6176, 67.66174
672.0997, 65.38019
672.5818, 69.58746
673.0640, 70.39404
673.5461, 53.83563
674.0282, 38.86035
674.5103, 43.49023
674.9924, 66.87421
675.4745, 83.81238
675.9567, 83.04791
676.4388, 76.97961
676.9209, 70.98688
677.4030, 63.61255
677.8851, 60.95404
678.3672, 63.12213
678.8494, 68.13974
679.3315, 76.76016
679.8136, 89.77527
680.2957, 98.89020
680.7778, 102.4806
681.2599, 103.8565
681.7421, 110.6992
682.2242, 118.9449
682.7063, 115.5497
683.1884, 85.97089
683.6705, 57.24094
684.1526, 51.14597
684.6348, 60.58643
685.1169, 70.08191
685.5990, 75.66010
686.0811, 80.93008
686.5632, 87.01611
687.0453, 92.76202
687.5275, 96.47849
688.0096, 102.2747
688.4917, 103.2900
688.9738, 96.68979
689.4559, 83.05246
689.9380, 73.35141
690.4202, 65.20148
690.9023, 62.64612
691.3844, 74.43945
691.8665, 92.54523
692.3486, 102.8729
692.8307, 100.1021
693.3129, 92.70160
693.7950, 81.93347
694.2771, 72.79956
694.7592, 69.46857
695.2413, 78.18182
695.7234, 83.33246
696.2056, 81.00433
696.6877, 75.34344
697.1698, 69.83466
697.6519, 60.83295
698.1340, 58.52759
698.6161, 66.64954
699.0983, 79.96027
699.5804, 85.82410
700.0625, 85.17053
700.5446, 81.22565
701.0267, 70.85114
