##NAMES=Atelestite
##RRUFFID=R080139
##IDEAL CHEMISTRY=Bi^3+^_2_O(As^5+^O_4_)(OH)
##LOCALITY=Daniel mine, Schneeberg, Saxony, Germany
##OWNER=RRUFF
##SOURCE=William W. Pinch
##DESCRIPTION=Small sharp tan to cream colored crystals, associated with dark brown eulytine
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R080139
530.2161, 93.17725
530.6982, 88.69922
531.1804, 84.09229
531.6625, 79.41406
532.1446, 79.14600
532.6267, 89.76611
533.1088, 103.2837
533.5909, 112.2563
534.0731, 109.8647
534.5552, 110.4629
535.0373, 117.2070
535.5194, 127.3774
536.0015, 132.9722
536.4836, 128.5137
536.9658, 131.0098
537.4479, 149.8740
537.9300, 183.7490
538.4121, 203.5767
538.8942, 207.1064
539.3763, 205.2476
539.8585, 205.8394
540.3406, 208.6055
540.8227, 212.0972
541.3048, 215.8086
541.7869, 221.0825
542.2690, 230.6753
542.7512, 243.1860
543.2333, 255.1685
543.7154, 267.1089
544.1975, 276.3555
544.6796, 279.3447
545.1617, 277.2944
545.6439, 275.5215
546.1260, 276.1294
546.6081, 278.0947
547.0902, 281.4131
547.5723, 286.9321
548.0544, 290.3643
548.5366, 286.9102
549.0187, 283.5811
549.5008, 287.0581
549.9829, 304.7217
550.4650, 315.6006
550.9471, 315.9526
551.4293, 309.6724
551.9114, 305.5454
552.3935, 303.9175
552.8756, 302.9448
553.3577, 301.9824
553.8398, 301.0254
554.3220, 300.4150
554.8041, 300.1895
555.2862, 298.4556
555.7683, 291.5562
556.2504, 282.3120
556.7325, 277.2637
557.2147, 278.0146
557.6968, 278.6626
558.1789, 273.5605
558.6610, 265.3633
559.1431, 257.9370
559.6252, 252.3970
560.1074, 247.6567
560.5895, 240.3994
561.0716, 233.5684
561.5537, 235.7500
562.0358, 261.7671
562.5179, 283.8271
563.0001, 290.6802
563.4822, 280.3906
563.9643, 271.5259
564.4464, 265.4810
564.9285, 260.5122
565.4106, 255.1621
565.8928, 249.3540
566.3749, 243.3457
566.8570, 237.0566
567.3391, 231.0166
567.8212, 225.1460
568.3033, 219.1997
568.7855, 215.0703
569.2676, 215.2856
569.7497, 218.1313
570.2318, 219.8823
570.7139, 219.8013
571.1960, 218.4272
571.6782, 217.8921
572.1603, 215.2876
572.6424, 206.7090
573.1245, 191.9829
573.6066, 182.3271
574.0887, 182.1396
574.5709, 186.4351
575.0530, 191.4097
575.5351, 199.3525
576.0172, 205.8940
576.4993, 213.4766
576.9814, 218.0786
577.4636, 211.7319
577.9457, 188.8394
578.4278, 169.5923
578.9099, 159.7251
579.3920, 156.9717
579.8741, 152.5132
580.3563, 146.1416
580.8384, 142.3970
581.3205, 148.4204
581.8026, 158.9321
582.2847, 155.2817
582.7668, 136.5596
583.2490, 119.2817
583.7311, 120.3745
584.2132, 130.0254
584.6953, 135.0889
585.1774, 130.1387
585.6595, 125.6709
586.1416, 130.4844
586.6237, 138.6162
587.1058, 141.0415
587.5880, 127.6211
588.0701, 116.9595
588.5522, 114.8228
589.0343, 119.3467
589.5164, 121.8486
589.9985, 120.5200
590.4807, 120.2515
590.9628, 122.9648
591.4449, 128.6104
591.9270, 136.6895
592.4091, 148.7373
592.8912, 156.8022
593.3734, 148.2749
593.8555, 127.8101
594.3376, 119.9766
594.8197, 130.6011
595.3018, 144.6973
595.7839, 145.3120
596.2661, 137.5044
596.7482, 131.0264
597.2303, 130.0601
597.7124, 131.3823
598.1945, 133.2134
598.6766, 135.8911
599.1588, 140.3086
599.6409, 146.9155
600.1230, 155.2954
600.6051, 166.2622
601.0872, 180.0195
601.5693, 191.5791
602.0515, 198.9717
602.5336, 206.3784
603.0157, 216.3716
603.4978, 229.2393
603.9799, 243.3271
604.4620, 258.9214
604.9442, 274.3774
605.4263, 289.0210
605.9084, 302.4424
606.3905, 309.4141
606.8726, 305.3452
607.3547, 300.9458
607.8369, 310.2319
608.3190, 329.9541
608.8011, 352.0200
609.2832, 373.9561
609.7653, 395.5542
610.2474, 418.9116
610.7296, 443.1519
611.2117, 460.2153
611.6938, 454.2354
612.1759, 451.8711
612.6580, 469.5107
613.1401, 515.0000
613.6223, 547.0972
614.1044, 563.2300
614.5865, 568.8027
615.0686, 564.7783
615.5507, 549.2168
616.0328, 544.4629
616.5150, 554.1475
616.9971, 571.1128
617.4792, 587.0591
617.9613, 602.0127
618.4434, 614.9502
618.9255, 625.4316
619.4077, 634.4326
619.8898, 641.6084
620.3719, 647.7969
620.8540, 656.0894
621.3361, 674.1333
621.8182, 689.6270
622.3004, 693.5596
622.7825, 685.6455
623.2646, 679.6343
623.7467, 680.5518
624.2288, 681.6582
624.7109, 679.3999
625.1931, 672.2251
625.6752, 667.6050
626.1573, 666.2798
626.6394, 665.6597
627.1215, 664.3364
627.6036, 662.2451
628.0858, 653.0098
628.5679, 633.4849
629.0500, 611.8403
629.5321, 602.5044
630.0142, 601.9912
630.4963, 598.8892
630.9785, 586.1831
631.4606, 570.9888
631.9427, 560.2583
632.4248, 552.9370
632.9069, 544.6943
633.3890, 534.2612
633.8712, 522.3428
634.3533, 507.4395
634.8354, 488.8574
635.3175, 474.6099
635.7996, 468.1533
636.2817, 463.0176
636.7639, 455.9116
637.2460, 446.8354
637.7281, 435.0537
638.2102, 418.1650
638.6923, 403.0874
639.1744, 400.8008
