##NAMES=Lorandite
##RRUFFID=R060961
##IDEAL CHEMISTRY=TlAsS_2_
##LOCALITY=Allchar, Macedonia
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Deep red prisms or tabular crystals, associated with prismatic realgar.
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R060961
555.1597, 26.05652
555.6418, 29.04376
556.1240, 38.26453
556.6061, 46.23962
557.0882, 46.70990
557.5703, 43.78772
558.0524, 41.42078
558.5345, 39.88165
559.0167, 40.10077
559.4988, 46.44812
559.9809, 53.55536
560.4630, 54.45874
560.9451, 37.98676
561.4272, 25.87976
561.9094, 25.73083
562.3915, 34.73993
562.8736, 38.46619
563.3557, 32.68787
563.8378, 27.91473
564.3199, 29.52521
564.8021, 38.51062
565.2842, 44.71143
565.7663, 47.60022
566.2484, 48.91351
566.7305, 50.35498
567.2126, 51.86243
567.6948, 53.20044
568.1769, 54.87671
568.6590, 55.38318
569.1411, 50.75574
569.6232, 42.61786
570.1053, 36.63031
570.5875, 35.98798
571.0696, 38.50751
571.5517, 44.99091
572.0338, 54.85242
572.5159, 59.06927
572.9980, 44.90131
573.4802, 29.16962
573.9623, 24.76343
574.4444, 43.86792
574.9265, 55.69745
575.4086, 52.51703
575.8907, 42.89001
576.3729, 38.23053
576.8550, 41.33942
577.3371, 42.81189
577.8192, 40.54193
578.3013, 36.21338
578.7834, 34.69592
579.2656, 36.17841
579.7477, 38.54968
580.2298, 40.41241
580.7119, 42.07196
581.1940, 45.12445
581.6761, 49.79858
582.1583, 53.99341
582.6404, 55.32147
583.1225, 54.93195
583.6046, 54.81708
584.0867, 56.17859
584.5688, 56.77716
585.0510, 55.39093
585.5331, 52.24304
586.0152, 47.77936
586.4973, 41.77930
586.9794, 34.83234
587.4615, 24.01978
587.9437, 9.200989
588.4258, 6.671143
588.9079, 26.91248
589.3900, 46.91217
589.8721, 51.64392
590.3542, 35.76526
590.8364, 28.89795
591.3185, 33.48450
591.8006, 42.96832
592.2827, 50.07507
592.7648, 54.79694
593.2469, 56.95740
593.7291, 56.14606
594.2112, 53.23523
594.6933, 48.33966
595.1754, 42.35168
595.6575, 37.46198
596.1396, 35.74567
596.6218, 35.50836
597.1039, 35.78308
597.5860, 36.49768
598.0681, 36.79431
598.5502, 34.12012
599.0323, 32.33783
599.5144, 34.53711
599.9965, 47.30255
600.4786, 53.49030
600.9608, 49.00482
601.4429, 40.35681
601.9250, 36.97778
602.4071, 40.15839
602.8892, 45.07227
603.3713, 52.28925
603.8535, 59.74060
604.3356, 58.17261
604.8177, 47.39069
605.2998, 38.02008
605.7819, 38.09436
606.2640, 44.11371
606.7462, 49.75110
607.2283, 54.78107
607.7104, 58.55426
608.1925, 61.17029
608.6746, 62.03717
609.1567, 59.87372
609.6389, 51.49908
610.1210, 46.22394
610.6031, 50.27948
611.0852, 58.70160
611.5673, 64.18799
612.0494, 66.00037
612.5316, 64.63855
613.0137, 59.55078
613.4958, 51.48273
613.9779, 42.36829
614.4600, 29.79144
614.9421, 22.92303
615.4243, 30.11890
615.9064, 49.51971
616.3885, 57.81586
616.8706, 53.95190
617.3527, 47.20178
617.8348, 39.08252
618.3170, 28.68524
618.7991, 38.42908
619.2812, 44.14819
619.7633, 46.05902
620.2454, 32.75146
620.7275, 39.19507
621.2097, 38.06177
621.6918, 36.34662
622.1739, 45.46210
622.6560, 34.37378
623.1381, 43.31732
623.6202, 44.26581
624.1024, 48.87518
624.5845, 45.56073
625.0666, 44.69495
625.5487, 42.29150
626.0308, 46.60596
626.5129, 60.46820
626.9951, 73.09161
627.4772, 73.62842
627.9593, 63.41541
628.4414, 53.36749
628.9235, 44.18433
629.4056, 37.64148
629.8878, 38.41626
630.3699, 42.96979
630.8520, 44.55176
631.3341, 37.73096
631.8162, 30.76489
632.2983, 29.07214
632.7805, 30.94989
633.2626, 31.56909
633.7447, 17.42352
634.2268, 26.75586
634.7089, 32.06384
635.1910, 33.56549
635.6732, 19.85126
636.1553, 25.79047
636.6374, 23.85449
637.1195, 21.59607
637.6016, 30.30310
638.0837, 18.80579
638.5659, 27.34033
639.0480, 27.87933
639.5301, 32.07855
640.0122, 28.35394
640.4943, 27.07733
640.9764, 33.72833
641.4586, 35.99078
641.9407, 28.20557
642.4228, 31.58295
642.9049, 33.96222
643.3870, 35.61249
643.8691, 34.68451
644.3513, 28.45996
644.8334, 17.78174
645.3155, 10.97223
645.7976, 10.13861
646.2797, 11.16656
646.7618, 12.92639
647.2440, 15.57611
647.7261, 16.67334
648.2082, 15.91467
648.6903, 14.53534
649.1724, 12.45850
649.6545, 10.34106
650.1367, 13.64783
