##NAMES=Dmisteinbergite
##RRUFFID=R130087
##IDEAL CHEMISTRY=CaAl_2_Si_2_O_8_
##LOCALITY=Katashina Village, Gunma Prefecture, Japan
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Colorless platelets with pearly luster. Associated with prehnite and wairakite, R061075
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R130087
605.6743, 83.87402
606.1564, 80.29248
606.6385, 69.36377
607.1207, 59.33350
607.6028, 58.43506
608.0849, 64.72559
608.5670, 72.45459
609.0491, 83.69092
609.5313, 86.40723
610.0134, 73.32031
610.4955, 52.25928
610.9776, 31.70752
611.4597, 10.22949
611.9418, 8.4472999E-02
612.4240, 4.660645
612.9061, 19.05273
613.3882, 48.71484
613.8703, 83.51123
614.3524, 107.0264
614.8345, 113.2661
615.3167, 105.4429
615.7988, 80.19580
616.2809, 38.28174
616.7630, 24.70020
617.2451, 49.89209
617.7272, 75.30127
618.2094, 83.45801
618.6915, 81.38574
619.1736, 80.10303
619.6557, 80.56641
620.1378, 78.66211
620.6199, 66.50293
621.1021, 56.68701
621.5842, 68.38379
622.0663, 92.00586
622.5484, 98.29590
623.0305, 73.47119
623.5126, 34.84375
623.9948, 10.24561
624.4769, 0.7885740
624.9590, 4.380371
625.4411, 8.357910
625.9232, 6.931641
626.4053, 9.320313
626.8875, 33.71826
627.3696, 56.31494
627.8517, 79.20264
628.3338, 86.99609
628.8159, 56.65479
629.2980, 20.40674
629.7802, 17.27100
630.2623, 41.29590
630.7444, 57.72070
631.2265, 46.92773
631.7086, 24.26855
632.1907, 23.27295
632.6729, 50.40234
633.1550, 68.17236
633.6371, 71.14600
634.1192, 69.12744
634.6013, 64.96777
635.0834, 60.09521
635.5656, 56.29932
636.0477, 51.78516
636.5298, 54.06934
637.0119, 81.99951
637.4940, 109.4668
637.9761, 95.63232
638.4583, 47.28809
638.9404, 9.211914
639.4225, 8.020996
639.9046, 30.85107
640.3867, 49.63184
640.8688, 64.82617
641.3510, 73.18604
641.8331, 72.78418
642.3152, 67.44580
642.7973, 53.43457
643.2794, 37.41211
643.7615, 33.62988
644.2437, 49.07764
644.7258, 65.56738
645.2079, 74.99219
645.6900, 80.02930
646.1721, 84.63379
646.6542, 88.52100
647.1364, 86.73877
647.6185, 75.96924
648.1006, 59.39746
648.5827, 43.43652
649.0648, 27.14404
649.5469, 15.64600
650.0291, 4.363281
650.5112, 6.287598
650.9933, 44.11426
651.4754, 96.79883
651.9575, 121.5112
652.4396, 101.4487
652.9218, 78.69971
653.4039, 68.66699
653.8860, 67.55127
654.3681, 74.71582
654.8502, 87.42529
655.3323, 98.11133
655.8145, 102.4756
656.2966, 101.7808
656.7787, 99.07520
657.2608, 97.64355
657.7429, 87.73682
658.2250, 61.47852
658.7072, 35.84277
659.1893, 15.12988
659.6714, 3.699219
660.1535, 13.76758
660.6356, 58.11621
661.1177, 94.37646
661.5999, 106.5171
662.0820, 105.9468
662.5641, 100.6631
663.0462, 92.06250
663.5283, 78.15967
664.0104, 57.26904
664.4926, 38.36133
664.9747, 40.49023
665.4568, 64.30713
665.9389, 74.21973
666.4210, 60.68164
666.9031, 52.41943
667.3853, 70.92383
667.8674, 103.9131
668.3495, 122.5801
668.8316, 123.1152
669.3137, 120.0347
669.7958, 111.1792
670.2780, 104.4863
670.7601, 106.0742
671.2422, 114.0112
671.7243, 125.1724
672.2064, 138.4575
672.6885, 148.3291
673.1707, 144.3281
673.6528, 129.4150
674.1349, 121.2422
674.6170, 119.8276
675.0991, 133.0967
675.5812, 174.0474
676.0634, 222.6460
676.5455, 237.3193
677.0276, 202.9927
677.5097, 177.7275
677.9918, 159.5356
678.4739, 154.2559
678.9561, 180.5991
679.4382, 215.2070
679.9203, 217.8721
