##NAMES=Diamond
##RRUFFID=R050207
##IDEAL CHEMISTRY=C
##LOCALITY=Unknown
##OWNER=RRUFF
##SOURCE=Eric Van Valkenburg
##DESCRIPTION=Single crystal,  type I
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R050207
601.0871, 2.010780
601.5692, 2.763054
602.0513, 3.060661
602.5334, 3.840752
603.0156, 5.303543
603.4977, 6.865959
603.9798, 7.817604
604.4619, 9.400261
604.9440, 10.35057
605.4261, 7.406837
605.9083, 1.514221
606.3904, 1.658211
606.8725, 0.2981110
607.3546, 2.552055
607.8367, 3.888443
608.3188, 4.105774
608.8010, 3.914093
609.2831, 3.524452
609.7652, 3.042397
610.2473, 2.377739
610.7294, 1.750244
611.2115, 2.195503
611.6937, 4.847412
612.1758, 6.720947
612.6579, 6.108452
613.1400, 2.587006
613.6221, 1.362144
614.1042, 2.182961
614.5864, 3.505234
615.0685, 4.841125
615.5506, 7.972580
616.0327, 8.876884
616.5148, 6.225601
616.9969, 2.360329
617.4791, 1.628433
617.9612, 3.454102
618.4433, 5.292511
618.9254, 5.886742
619.4075, 5.498917
619.8896, 5.915169
620.3718, 7.336090
620.8539, 8.454956
621.3360, 5.635796
621.8181, 2.242203
622.3002, 0.2850570
622.7823, 0.1740190
623.2645, 0.4111020
623.7466, 1.071220
624.2287, 3.100876
624.7108, 5.180466
625.1929, 6.733604
625.6750, 6.928574
626.1572, 4.964996
626.6393, 2.808220
627.1214, 2.926979
627.6035, 5.398582
628.0856, 7.065712
628.5677, 7.215294
629.0499, 6.798126
629.5320, 7.337563
630.0141, 8.470512
630.4962, 9.040581
630.9783, 8.037949
631.4604, 6.387611
631.9426, 4.880569
632.4247, 3.579895
632.9068, 2.056816
633.3889, 0.4696430
633.8710, 1.913712
634.3531, 0.4011460
634.8353, 2.840111
635.3174, 4.695114
635.7995, 4.802055
636.2816, 4.849510
636.7637, 5.341469
637.2458, 6.875084
637.7280, 7.313858
638.2101, 6.136711
638.6922, 4.213028
639.1743, 4.512329
639.6564, 6.937088
640.1385, 8.188377
640.6207, 6.873283
641.1028, 4.667747
641.5849, 3.836441
642.0670, 4.501892
642.5491, 6.073555
643.0313, 8.185623
643.5134, 9.724258
643.9955, 10.13712
644.4776, 9.371994
644.9597, 8.185822
645.4418, 7.532951
645.9240, 7.204086
646.4061, 7.341461
646.8882, 6.359520
647.3703, 3.916237
647.8524, 1.459808
