##NAMES=Munakataite
##RRUFFID=R110005
##IDEAL CHEMISTRY=Pb_2_Cu_2_(Se^4+^O_3_)SO_4_(OH)_4_
##LOCALITY=Tonopah-Belmont mine, Maricopa County, Arizona, USA
##OWNER=RRUFF
##SOURCE=Marcus Origlieri
##DESCRIPTION=Blue acicular to prismatic crystals with tapering terminations, associated with brochantite and cerussite
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R110005
664.7546, 4.494489
665.2368, 2.667020
665.7189, 1.428944
666.2010, 1.315913
666.6831, 1.971624
667.1652, 3.055111
667.6473, 5.255783
668.1295, 6.668676
668.6116, 6.978098
669.0937, 6.580126
669.5758, 6.161021
670.0579, 5.703012
670.5400, 5.382904
671.0222, 5.295923
671.5043, 5.335029
671.9864, 5.324028
672.4685, 5.250428
672.9506, 5.052031
673.4327, 4.621506
673.9149, 4.105765
674.3970, 3.566095
674.8791, 3.027064
675.3612, 2.649102
675.8433, 2.695584
676.3254, 2.745671
676.8076, 2.494143
677.2897, 1.819513
677.7718, 1.592272
678.2539, 2.087237
678.7360, 2.648608
679.2181, 2.859215
679.7003, 2.700016
680.1824, 2.289973
680.6645, 1.553922
681.1466, 0.9002210
681.6287, 0.9803250
682.1108, 1.513050
682.5930, 1.562746
683.0751, 0.7529620
683.5572, 0.1010570
684.0393, 0.8971370
684.5214, 2.268604
685.0035, 2.970957
685.4857, 1.882552
685.9678, 0.9190760
686.4499, 0.4153870
686.9320, 0.3915330
687.4141, 0.9493480
687.8962, 2.861898
688.3784, 3.812295
688.8605, 2.912263
689.3426, 0.8477200
689.8247, 6.4052001E-02
690.3068, 0.5978330
690.7889, 1.265045
691.2711, 1.528851
691.7532, 1.521047
692.2353, 1.456265
692.7174, 1.341273
693.1995, 1.216012
693.6816, 1.140476
694.1638, 1.034165
694.6459, 0.7908400
695.1280, 0.3907680
695.6101, 0.1191060
696.0922, 0.1970600
696.5743, 0.2725690
697.0565, 0.1408320
697.5386, 0.2345430
698.0207, 0.4252790
698.5028, 0.4701500
698.9849, 0.3034770
699.4670, 0.4174640
699.9492, 1.573089
700.4313, 1.721795
700.9135, 0.5486410
701.3956, 0.7972770
701.8777, 0.8696230
702.3598, 0.3050270
702.8419, 0.2873840
703.3240, 1.610422
