##NAMES=Triphylite
##RRUFFID=R050624
##IDEAL CHEMISTRY=LiFe^2+^PO_4_
##LOCALITY=Minas Gerais, Brazil
##OWNER=RRUFF
##SOURCE=Gemological Center
##DESCRIPTION=Brown fragment
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R050624
##MEASURED CHEMISTRY=Li_1.00_(Fe^2+^_0.55_Mn^2+^_0.45_)_Σ=1_P_1.00_O_4_ ; Li not measured, but estimated by difference
543.3412, 22.24792
543.8234, 25.65131
544.3055, 25.97302
544.7876, 25.40186
545.2697, 26.06927
545.7518, 28.24744
546.2339, 30.67517
546.7161, 33.02185
547.1982, 35.17950
547.6803, 37.08588
548.1624, 37.40594
548.6445, 39.14471
549.1266, 44.12469
549.6088, 50.60681
550.0909, 55.02155
550.5730, 56.15082
551.0551, 57.17590
551.5372, 58.62488
552.0193, 60.57892
552.5015, 63.83990
552.9836, 68.53296
553.4657, 74.09998
553.9478, 80.50659
554.4299, 87.63287
554.9120, 94.12708
555.3942, 99.72101
555.8763, 105.3503
556.3584, 111.9227
556.8405, 119.3319
557.3226, 127.3389
557.8047, 135.9713
558.2869, 145.0626
558.7690, 154.0091
559.2511, 163.2769
559.7332, 173.9732
560.2154, 187.8270
560.6975, 202.1868
561.1796, 215.7605
561.6617, 228.4639
562.1439, 241.4246
562.6260, 255.0853
563.1081, 268.8960
563.5902, 282.6262
564.0723, 295.1751
564.5544, 310.1946
565.0366, 328.7339
565.5187, 348.9521
566.0008, 367.6700
566.4829, 384.4919
566.9650, 402.8376
567.4471, 423.3096
567.9293, 445.8624
568.4114, 470.0832
568.8935, 495.9614
569.3756, 522.4705
569.8577, 548.8569
570.3398, 575.5198
570.8220, 602.2776
571.3041, 629.3851
571.7862, 656.1314
572.2683, 683.1714
572.7504, 709.3072
573.2325, 734.0295
573.7147, 757.6410
574.1968, 778.2487
574.6789, 796.7072
575.1610, 811.1989
575.6431, 819.5966
576.1252, 821.2037
576.6074, 816.9802
577.0895, 807.0911
577.5716, 791.4485
