##NAMES=Philipsbornite
##RRUFFID=R070065
##IDEAL CHEMISTRY=Pb^2+^Al_3_(As^5+^O_4_)(As^5+^O_3_OH)(OH)_6_
##LOCALITY=Hat Yai Province, Thailand
##OWNER=RRUFF
##SOURCE=Bob Jenkins
##DESCRIPTION=Colorless pyramidal crystals, associated with yellow mimetite
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R070065
471.2712, 1015.278
471.7534, 1050.557
472.2355, 1086.548
472.7176, 1120.099
473.1997, 1150.450
473.6818, 1172.097
474.1639, 1184.607
474.6461, 1194.865
475.1282, 1207.583
475.6103, 1222.947
476.0924, 1243.581
476.5745, 1273.781
477.0566, 1300.742
477.5388, 1305.299
478.0209, 1292.706
478.5030, 1279.607
478.9851, 1275.307
479.4672, 1273.767
479.9493, 1270.552
480.4315, 1265.391
480.9136, 1257.456
481.3957, 1246.365
481.8778, 1232.157
482.3599, 1215.204
482.8420, 1192.831
483.3241, 1170.481
483.8062, 1149.694
484.2884, 1129.895
484.7705, 1109.366
485.2526, 1088.611
485.7347, 1066.336
486.2168, 1042.784
486.6989, 1020.230
487.1811, 988.4846
487.6632, 940.5820
488.1453, 890.3416
488.6274, 855.6694
489.1095, 839.9543
489.5916, 825.9312
490.0738, 811.7231
490.5559, 796.0598
491.0380, 772.7158
491.5201, 740.8257
492.0022, 710.7461
492.4843, 695.3574
492.9665, 689.7227
493.4486, 670.0220
493.9307, 629.5188
494.4128, 590.4412
494.8949, 583.2744
495.3770, 598.3279
495.8592, 610.9773
496.3413, 604.0862
496.8234, 589.9150
497.3055, 580.1406
497.7876, 574.9443
498.2697, 570.0237
498.7519, 559.4922
499.2340, 549.8794
499.7161, 546.1426
500.1982, 549.8162
500.6803, 557.8240
501.1624, 574.2578
501.6446, 594.7854
502.1267, 610.7041
502.6088, 612.0378
503.0909, 617.3784
503.5730, 630.7666
504.0551, 652.3462
504.5373, 676.3193
505.0194, 702.3479
505.5015, 731.4607
505.9836, 766.2859
506.4657, 808.1208
506.9478, 842.2539
507.4299, 866.2456
507.9120, 885.9561
508.3942, 908.9143
508.8763, 935.5730
509.3584, 971.0405
509.8405, 1020.215
510.3226, 1078.000
510.8047, 1134.049
511.2869, 1188.342
511.7690, 1244.810
512.2511, 1306.550
512.7332, 1371.692
513.2153, 1437.475
513.6974, 1502.866
514.1796, 1570.420
514.6617, 1645.086
515.1438, 1723.166
515.6259, 1798.056
516.1080, 1861.119
516.5901, 1926.496
517.0723, 2003.055
517.5544, 2091.829
518.0365, 2173.162
518.5186, 2242.870
519.0007, 2306.707
519.4828, 2367.861
519.9650, 2429.173
520.4471, 2482.317
520.9292, 2526.647
521.4113, 2563.508
521.8934, 2596.565
522.3755, 2627.164
522.8577, 2646.862
523.3398, 2652.219
523.8219, 2644.476
524.3040, 2628.397
524.7861, 2603.900
525.2682, 2574.795
525.7504, 2543.542
526.2325, 2510.416
526.7146, 2474.771
527.1967, 2436.837
527.6788, 2394.988
528.1609, 2347.262
528.6431, 2293.758
529.1252, 2235.372
529.6073, 2188.033
530.0894, 2123.010
530.5715, 2010.036
531.0536, 1853.271
531.5358, 1711.236
532.0179, 1612.587
532.5000, 1526.833
532.9821, 1434.168
533.4642, 1326.876
533.9464, 1224.016
534.4285, 1129.143
534.9106, 1037.898
535.3927, 940.6416
535.8748, 828.8088
536.3569, 732.6853
536.8391, 663.5437
537.3212, 616.2463
537.8033, 565.3071
538.2854, 509.2253
538.7675, 457.7771
539.2496, 423.8389
539.7318, 402.7434
540.2139, 366.3428
540.6960, 309.9280
541.1781, 251.7827
541.6602, 213.1531
542.1423, 188.8833
542.6245, 169.1064
543.1066, 152.1252
543.5887, 136.3330
544.0708, 121.6077
544.5529, 107.2314
545.0350, 90.02075
545.5172, 61.75293
545.9993, 35.71167
546.4813, 21.67285
546.9634, 24.88452
547.4456, 22.35083
547.9277, 3.679443
548.4098, 18.60718
548.8919, 32.30249
549.3740, 29.73267
549.8561, 32.70093
550.3383, 47.27612
550.8204, 67.72461
551.3025, 73.55273
551.7846, 60.11133
552.2667, 52.07666
552.7488, 68.43823
553.2310, 103.4509
553.7131, 109.0684
554.1952, 83.30664
554.6773, 52.24316
555.1594, 40.48853
555.6415, 41.90430
556.1237, 42.31860
556.6058, 38.20630
557.0879, 33.43237
557.5700, 29.13428
558.0521, 26.80469
558.5342, 29.56006
559.0164, 47.42188
559.4985, 63.01025
559.9806, 66.19604
560.4627, 56.95215
560.9448, 48.61792
561.4269, 45.07397
561.9091, 42.45435
562.3912, 38.77246
562.8733, 34.41089
