##NAMES=Variscite
##RRUFFID=R100222
##IDEAL CHEMISTRY=AlPO_4_&#183;2H_2_O
##LOCALITY=Canarana, Mato Grosso, Brazil
##OWNER=RRUFF
##SOURCE=Luiz Menezes
##DESCRIPTION=Green blocky, combination of pseudo-octahedral and pseudo-cubes on quartz
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R100222
672.0378, 2.135864
672.5199, 1.827759
673.0020, 1.417114
673.4841, 0.7558590
673.9662, 2.1361999E-02
674.4484, 0.2369380
674.9305, 0.8218990
675.4126, 2.532593
675.8947, 2.521973
676.3768, 0.1715090
676.8589, 1.096436
677.3411, 2.8564001E-02
677.8232, 1.710083
678.3053, 3.079590
678.7874, 4.041504
679.2695, 4.387939
679.7516, 4.276855
680.2338, 3.293579
680.7159, 0.1793210
681.1980, 4.152222
681.6801, 4.991821
682.1622, 2.381958
682.6443, 0.5738530
683.1265, 1.278198
683.6086, 0.2840580
684.0907, 0.3554690
684.5728, 1.979248
685.0549, 3.560791
685.5370, 5.185547
686.0192, 6.419800
686.5013, 6.917969
686.9834, 6.789185
687.4655, 6.429199
687.9476, 6.021606
688.4297, 5.365479
688.9119, 3.313477
689.3940, 1.042847
689.8761, 2.125366
690.3582, 7.084961
690.8403, 11.65198
691.3224, 12.54150
691.8046, 10.35205
692.2867, 7.802368
692.7688, 3.775879
693.2509, 1.272583
693.7330, 1.031860
694.2151, 1.698608
694.6973, 2.970825
695.1794, 4.455444
695.6615, 5.442139
696.1436, 5.702148
696.6257, 5.606567
697.1078, 5.005249
697.5900, 4.313721
698.0721, 5.276733
698.5542, 8.301392
699.0363, 10.60938
699.5184, 10.09583
700.0005, 7.737183
700.4827, 6.893921
700.9648, 9.237549
701.4469, 10.20471
701.9290, 8.722778
702.4111, 7.174683
702.8932, 7.095337
703.3754, 7.707642
703.8575, 7.213135
704.3396, 4.980591
704.8217, 3.240967
705.3038, 4.950195
705.7859, 9.228516
706.2681, 12.22400
706.7502, 13.65234
707.2323, 13.41577
707.7144, 10.63684
708.1965, 6.813965
708.6786, 5.672485
709.1607, 8.437378
709.6428, 9.999756
710.1249, 9.304810
710.6071, 8.330566
711.0892, 8.151733
711.5713, 8.287598
712.0534, 7.403076
712.5355, 5.155762
713.0176, 3.637573
713.4998, 6.266724
713.9819, 11.93726
714.4640, 14.20349
714.9461, 12.43506
715.4282, 10.88159
715.9103, 11.52222
716.3925, 13.02637
716.8746, 12.98242
717.3567, 11.03088
717.8388, 10.51709
718.3209, 14.25452
718.8030, 16.64575
719.2852, 13.18298
719.7673, 7.509766
720.2494, 4.997192
720.7315, 6.707764
721.2136, 9.388916
721.6957, 9.365112
722.1779, 7.546021
722.6600, 7.574585
723.1421, 9.715698
723.6242, 11.46179
724.1063, 12.15759
724.5884, 12.10046
725.0706, 11.42334
725.5527, 10.15576
726.0348, 8.799316
726.5169, 7.862061
726.9990, 6.567017
727.4811, 3.348267
727.9633, 0.3405760
728.4454, 0.1887210
728.9275, 2.868042
729.4096, 6.661621
729.8917, 10.70679
730.3738, 14.34509
730.8560, 16.26733
731.3381, 16.44824
731.8202, 14.70459
732.3023, 10.15149
732.7844, 5.926147
733.2665, 4.450073
733.7487, 5.072144
734.2308, 5.216919
734.7129, 4.793213
735.1950, 4.219116
735.6771, 3.195313
736.1592, 2.301514
736.6414, 2.215454
737.1235, 2.651001
737.6056, 2.692139
738.0877, 1.895874
738.5698, 1.041138
739.0519, 1.586670
739.5341, 3.457397
740.0162, 4.238037
740.4983, 3.533813
740.9804, 2.961548
741.4625, 3.558594
741.9446, 4.524902
742.4268, 4.160522
742.9089, 2.030640
743.3910, 0.6218260
743.8731, 0.2193600
744.3552, 5.5542000E-02
