##NAMES=Diamond
##RRUFFID=R050205
##IDEAL CHEMISTRY=C
##LOCALITY=Unknown
##OWNER=RRUFF
##SOURCE=Eric Van Valkenburg
##DESCRIPTION=Single crystal, type IIA
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R050205
1419.033, 49.52051
1420.218, 7.325684
1421.403, 88.85352
1422.587, 31.05322
1423.772, 41.25830
1424.956, 57.47461
1426.140, 92.68945
1427.324, 42.90527
1428.508, 7.122559
1429.692, 74.34033
1430.875, 29.44385
1432.059, 110.7734
1433.242, 56.98975
1434.425, 16.20752
1435.607, 78.46045
1436.790, 65.72461
1437.972, 89.98389
1439.154, 154.2456
1440.336, 79.52637
1441.518, 144.8052
1442.700, 91.08350
1443.881, 86.36768
1445.062, 122.6548
1446.243, 84.94434
1447.424, 84.23486
1448.605, 119.5278
1449.786, 164.8203
1450.966, 104.1108
1452.146, 96.39551
1453.326, 129.6792
1454.506, 86.96631
1455.685, 122.2603
1456.865, 79.55615
1458.044, 136.8862
1459.223, 70.26611
1460.402, 123.6738
1461.581, 139.1123
1462.759, 142.5791
1463.938, 61.06445
1465.116, 153.1523
1466.294, 67.65820
1467.472, 136.1802
1468.649, 94.73291
1469.827, 42.30273
1471.004, 158.8911
1472.181, 81.93408
1473.358, 105.5479
1474.535, 109.1807
1475.711, 85.83398
1476.887, 44.23584
1478.064, 115.8198
1479.240, 44.42285
1480.415, 18.04395
1481.591, 91.68408
1482.767, 81.34473
1483.942, 89.02588
1485.117, 145.7305
1486.292, 59.46045
1487.467, 73.21826
1488.641, 140.0068
1489.815, 5.170898
1490.990, 118.6870
1492.164, 9.423340
1493.337, 129.4961
1494.511, 26.46875
1495.685, 34.47607
1496.858, 88.51904
1498.031, 100.6304
1499.204, 13.21680
1500.377, 131.2246
1501.549, 45.75244
1502.722, 44.37939
1503.894, 81.11621
1505.066, 24.97949
1506.238, 8.500488
1507.409, 112.1499
1508.581, 72.08398
1509.752, 50.16748
1510.923, 91.03857
1512.094, 4.586426
1513.265, 163.0552
1514.436, 35.45654
1515.606, 52.36084
1516.776, 154.9160
1517.946, 42.89111
1519.116, 89.52344
1520.286, 97.25586
1521.455, 0.0000000E+00
##END=



