##NAMES=Kunatite
##RRUFFID=R120055
##IDEAL CHEMISTRY=CuFe^3+^_2_(PO_4_)_2_(OH)_2_&#183;4H_2_O
##LOCALITY=Krasno, Horni Slakov, Bohemia, Czech Republic
##OWNER=RRUFF
##SOURCE=William W Pinch
##DESCRIPTION=Spherical aggregates of pale green acicular crystals on quartz, associated with triplite
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R120055
642.8316, 0.8844380
643.3137, 2.016838
643.7958, 2.861649
644.2780, 3.098633
644.7601, 2.948212
645.2422, 2.568123
645.7243, 1.372398
646.2064, 0.9272920
646.6885, 1.646965
647.1707, 2.923576
647.6528, 4.052773
648.1349, 5.207306
648.6170, 5.595924
649.0991, 4.814392
649.5812, 3.445961
650.0634, 2.819031
650.5455, 2.896835
651.0276, 3.236534
651.5097, 3.847534
651.9918, 4.468216
652.4739, 4.535004
652.9561, 4.169319
653.4382, 4.011467
653.9203, 4.755325
654.4024, 5.596565
654.8845, 5.879669
655.3666, 5.475220
655.8488, 5.371635
656.3309, 6.011642
656.8130, 6.848267
657.2951, 7.618904
657.7772, 8.562668
658.2593, 8.724014
658.7415, 7.834969
659.2236, 6.592026
659.7057, 5.628845
660.1878, 4.954430
660.6699, 5.050949
661.1520, 6.227539
661.6342, 7.638306
662.1163, 7.950195
662.5984, 7.523430
663.0805, 7.309692
663.5626, 7.971573
664.0447, 8.694206
664.5269, 8.824013
665.0090, 8.541367
665.4911, 8.379181
665.9732, 8.293373
666.4553, 8.560959
666.9374, 9.589798
667.4196, 11.28898
667.9017, 12.17673
668.3838, 11.94309
668.8659, 11.50462
669.3480, 11.37084
669.8301, 11.53766
670.3123, 11.14005
670.7944, 10.06279
671.2765, 9.279686
671.7586, 10.09332
672.2407, 11.77193
672.7228, 12.59290
673.2050, 12.23663
673.6871, 11.60970
674.1692, 11.08354
674.6513, 10.79251
675.1334, 10.93414
675.6155, 12.10400
676.0977, 12.88011
676.5798, 12.55849
677.0619, 11.77618
677.5440, 11.48181
678.0261, 11.86852
678.5082, 12.42845
678.9904, 13.21407
679.4725, 13.96285
679.9546, 13.77091
680.4367, 12.63203
680.9188, 12.08012
681.4009, 13.27656
681.8831, 15.10381
682.3652, 15.49601
682.8473, 14.72751
683.3294, 13.90195
683.8115, 13.41377
684.2936, 13.00388
684.7758, 12.52766
685.2579, 12.12388
685.7400, 11.66959
686.2221, 10.96213
686.7042, 10.37231
687.1863, 10.03520
687.6685, 9.968994
688.1506, 9.884552
688.6327, 9.816254
689.1148, 9.947304
689.5969, 10.36149
690.0790, 10.97533
690.5612, 11.61343
691.0433, 12.32218
691.5254, 12.81197
692.0075, 12.60834
692.4896, 11.96934
692.9717, 11.33823
693.4539, 10.73161
693.9360, 10.17434
694.4181, 9.831825
694.9002, 9.612053
695.3823, 9.317711
695.8644, 8.500023
696.3466, 8.193726
696.8287, 8.946442
697.3108, 10.13438
697.7929, 9.998550
698.2750, 8.093819
698.7571, 6.517410
699.2393, 6.051025
699.7214, 6.401794
700.2035, 6.683990
700.6856, 6.902161
701.1677, 7.037567
701.6498, 7.037636
702.1320, 6.932594
702.6141, 6.699821
703.0962, 6.358673
703.5783, 6.085312
704.0604, 6.074265
704.5425, 6.143661
705.0247, 6.171288
705.5068, 6.115753
705.9889, 6.093468
706.4710, 6.140831
706.9531, 6.140564
707.4352, 5.984520
707.9174, 5.660362
708.3995, 5.368538
708.8816, 5.078796
709.3637, 5.022865
709.8458, 5.709236
710.3279, 6.785034
710.8101, 7.405357
711.2922, 7.402679
711.7743, 7.026398
712.2564, 5.945602
712.7385, 4.796219
713.2206, 4.364883
713.7028, 5.669411
714.1849, 6.601997
714.6670, 6.480843
715.1491, 5.890388
715.6312, 5.617355
716.1133, 5.817146
716.5955, 5.873878
717.0776, 5.632515
717.5597, 5.239807
718.0418, 4.944725
718.5239, 4.765617
