##NAMES=Wiserite
##RRUFFID=R130122
##IDEAL CHEMISTRY=Mn^2+^_14_(B_2_O_5_)_4_(OH)_8_&#183;(Si,Mg)(O,OH)_4_Cl
##LOCALITY=Kombat Mine, Namibia
##OWNER=RRUFF
##SOURCE=Rock Currier
##DESCRIPTION=Light brown prismatic to needles, associated with black hausmannite and white barite
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R130122
564.6378, 5.598442
565.1199, 5.160339
565.6021, 4.050461
566.0842, 3.607742
566.5663, 4.322960
567.0484, 4.997604
567.5305, 5.201668
568.0126, 5.164574
568.4948, 5.162209
568.9769, 5.240807
569.4590, 5.283066
569.9411, 5.143318
570.4232, 4.847946
570.9053, 4.908241
571.3875, 5.663116
571.8696, 6.330673
572.3517, 6.943810
572.8338, 7.328941
573.3159, 7.142868
573.7980, 6.428688
574.2802, 5.854599
574.7623, 6.249939
575.2444, 7.300278
575.7265, 7.551636
576.2086, 6.757019
576.6907, 6.215324
577.1729, 6.768257
577.6550, 7.811234
578.1371, 8.306343
578.6192, 8.091095
579.1013, 7.988785
579.5834, 8.540756
580.0656, 9.230965
580.5477, 9.380524
581.0298, 9.017761
581.5119, 8.698059
581.9940, 8.775444
582.4761, 9.148773
582.9583, 9.480225
583.4404, 9.868073
583.9225, 10.04933
584.4046, 9.762863
584.8867, 9.495613
585.3688, 9.550423
585.8510, 9.916664
586.3331, 10.48351
586.8152, 11.25430
587.2973, 12.01538
587.7794, 12.26916
588.2615, 11.95930
588.7437, 11.63847
589.2258, 11.30151
589.7079, 11.14008
590.1900, 11.38897
590.6721, 11.99503
591.1542, 12.59038
591.6364, 13.09036
592.1185, 13.51271
592.6006, 13.79371
593.0827, 13.98178
593.5648, 14.31413
594.0469, 14.91023
594.5291, 15.49172
595.0112, 15.60580
595.4933, 15.07605
595.9754, 14.84343
596.4575, 14.90237
596.9396, 15.22584
597.4218, 16.03664
597.9039, 16.99287
598.3860, 17.60424
598.8681, 17.73771
599.3502, 17.76907
599.8323, 18.13973
600.3145, 18.82906
600.7966, 19.44611
601.2787, 19.93556
601.7608, 20.41846
602.2429, 20.99232
602.7250, 21.59093
603.2072, 22.07533
603.6893, 22.36073
604.1714, 22.74238
604.6535, 23.60014
605.1356, 24.54713
605.6177, 24.89601
606.0999, 24.62737
606.5820, 24.36890
607.0641, 24.55619
607.5462, 25.13104
608.0283, 25.84047
608.5104, 26.88485
608.9926, 27.77406
609.4747, 28.43600
609.9568, 28.98757
610.4389, 29.52498
610.9210, 30.03232
611.4031, 30.41568
611.8853, 30.59106
612.3674, 30.64812
612.8495, 30.65591
613.3316, 30.56804
613.8137, 31.07066
614.2958, 32.74156
614.7780, 34.51927
615.2601, 35.18118
615.7422, 34.92970
616.2243, 34.95175
616.7064, 36.00980
617.1885, 36.89540
617.6707, 36.45775
618.1528, 35.35336
618.6349, 34.98784
619.1170, 35.76510
619.5991, 36.96085
620.0812, 37.73514
620.5634, 38.06042
621.0455, 38.40768
621.5276, 38.72009
622.0097, 39.13014
622.4918, 39.91000
622.9739, 40.65991
623.4561, 40.83360
623.9382, 40.38008
624.4203, 39.98314
624.9023, 40.28899
625.3845, 41.06187
625.8666, 41.72153
626.3487, 42.26353
626.8308, 42.55774
627.3129, 42.35620
627.7950, 42.05360
628.2772, 42.55695
628.7593, 44.10962
629.2414, 45.15866
629.7235, 45.11732
630.2056, 44.82578
630.6877, 44.72920
631.1699, 44.87196
631.6520, 45.30209
632.1341, 46.04135
632.6162, 46.82592
633.0983, 47.14107
633.5804, 46.84605
634.0626, 46.81396
634.5447, 47.18558
635.0268, 47.66398
635.5089, 48.12218
635.9910, 48.59155
636.4731, 49.14442
636.9553, 49.82586
637.4374, 50.45638
637.9195, 50.88726
638.4016, 51.18255
638.8837, 51.43239
639.3658, 51.65189
639.8480, 51.91014
640.3301, 52.23072
640.8122, 52.64545
641.2943, 53.27047
641.7764, 54.35823
642.2585, 55.28194
642.7407, 55.99345
643.2228, 56.58241
643.7049, 57.11571
644.1870, 57.57594
644.6691, 57.88111
645.1512, 57.96561
645.6334, 57.98413
646.1155, 58.16435
646.5976, 58.50664
647.0797, 59.00861
647.5618, 59.73684
648.0439, 60.48723
648.5261, 61.17424
649.0082, 61.77087
649.4903, 62.14273
649.9724, 62.22154
650.4545, 62.12857
650.9366, 61.69558
651.4188, 61.24988
651.9009, 61.33362
652.3830, 61.88660
652.8651, 62.21135
653.3472, 61.73912
653.8293, 60.77949
654.3115, 60.54928
654.7936, 61.53520
655.2757, 62.03876
655.7578, 61.55894
656.2399, 60.79927
656.7220, 59.97817
657.2042, 59.15041
657.6863, 58.46021
658.1684, 58.09286
658.6505, 57.60397
659.1326, 56.52446
659.6147, 55.08217
660.0969, 53.75606
660.5790, 52.60030
661.0611, 51.35890
661.5432, 49.80593
662.0253, 48.00789
662.5074, 46.48322
662.9896, 45.19847
663.4717, 44.15736
663.9538, 43.79877
664.4359, 43.43248
664.9180, 42.38960
665.4001, 40.73686
665.8823, 39.04139
666.3644, 37.64069
666.8465, 36.42141
667.3286, 35.19800
667.8107, 33.95509
668.2928, 32.49149
668.7750, 30.66164
669.2571, 28.91241
669.7392, 27.79546
670.2213, 27.22057
670.7034, 26.30046
671.1855, 24.55892
671.6677, 23.03878
672.1498, 22.22156
672.6319, 21.73858
673.1140, 21.24648
673.5961, 20.64338
674.0782, 19.86497
674.5604, 18.80108
675.0425, 17.62283
675.5246, 16.97298
676.0067, 17.04642
676.4888, 16.77920
676.9709, 15.64532
677.4531, 14.48876
677.9352, 14.05283
678.4173, 14.13810
678.8994, 14.06904
679.3815, 13.69038
679.8636, 13.13818
680.3458, 12.23508
680.8279, 11.31338
681.3100, 11.02181
681.7921, 11.40636
682.2742, 11.79528
682.7563, 11.61200
683.2385, 10.99305
683.7206, 10.58615
684.2027, 10.43420
684.6848, 10.41138
685.1669, 10.60088
685.6490, 10.82872
686.1312, 10.98582
686.6133, 11.09499
687.0954, 11.25251
687.5775, 11.57240
688.0596, 11.81657
688.5417, 11.68125
689.0239, 11.32467
689.5060, 11.09184
689.9881, 11.04522
690.4702, 11.17198
690.9523, 11.49923
691.4344, 11.96761
691.9166, 12.26538
692.3987, 12.38599
692.8808, 12.33523
693.3629, 12.06032
693.8450, 11.67945
694.3271, 11.15910
694.8093, 10.59500
695.2914, 10.25102
695.7735, 10.34080
696.2556, 10.37201
696.7377, 9.685455
697.2198, 8.475479
697.7020, 7.395752
698.1841, 6.552422
698.6662, 5.833054
699.1483, 5.165222
699.6304, 4.552643
700.1125, 4.031891
700.5947, 3.694038
701.0768, 3.321312
701.5589, 2.790642
702.0410, 2.339981
702.5231, 2.234299
703.0052, 2.305878
703.4874, 2.166275
703.9695, 1.638374
704.4516, 0.9850540
704.9337, 0.5244140
705.4158, 0.2268600
705.8979, 7.8812003E-02
706.3801, 0.4222180
706.8622, 0.6547700
707.3442, 0.6593930
707.8264, 0.5225830
708.3085, 0.4631730
708.7906, 0.5193630
709.2727, 0.5505600
709.7548, 0.4879000
710.2369, 0.4573140
710.7191, 0.5768360
711.2012, 0.7698210
711.6833, 0.8685610
712.1654, 0.8151320
712.6475, 0.7795490
713.1296, 1.027481
713.6118, 1.489616
714.0939, 1.790573
714.5760, 1.919426
715.0581, 1.829948
715.5402, 1.335693
716.0223, 0.7735290
716.5045, 0.8205180
716.9866, 1.633797
717.4687, 2.026039
717.9508, 1.430260
718.4329, 0.8902210
718.9150, 1.111076
719.3972, 1.640259
719.8793, 1.726936
720.3614, 1.217911
720.8435, 0.6742780
