##NAMES=Krautite
##RRUFFID=R060967
##IDEAL CHEMISTRY=Mn^2+^(As^5+^O_3_OH)&#183;H_2_O
##LOCALITY=Jachymov, Bohemia, Czech Republic
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Pink spheroidal aggregates and crusts found with other secondary arsenic minerals, quartz and mica
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R060967
687.0505, 76.77734
687.5327, 136.1328
688.0148, 185.9844
688.4969, 201.1953
688.9790, 203.9023
689.4611, 220.0859
689.9432, 249.5938
690.4254, 271.0273
690.9075, 272.6641
691.3896, 262.2422
691.8717, 249.0820
692.3538, 234.0625
692.8359, 225.0391
693.3181, 224.6367
693.8002, 228.8125
694.2823, 230.4727
694.7644, 227.3047
695.2465, 234.6328
695.7286, 263.8125
696.2108, 288.8359
696.6929, 307.2656
697.1750, 319.8477
697.6571, 327.3438
698.1392, 328.5078
698.6213, 322.1289
699.1035, 308.2539
699.5856, 288.0820
700.0677, 244.9844
700.5498, 197.7344
701.0319, 199.4570
701.5140, 252.5352
701.9962, 293.3164
702.4783, 272.4258
702.9604, 216.1484
703.4425, 207.3633
703.9246, 263.3125
704.4067, 291.8359
704.8889, 266.2305
705.3710, 235.0469
705.8531, 236.4062
706.3352, 251.5508
706.8173, 238.3438
707.2994, 171.3047
707.7816, 126.7656
708.2637, 140.8750
708.7458, 181.2812
709.2279, 233.3633
709.7100, 285.8203
710.1921, 320.5781
710.6743, 329.3125
711.1564, 315.8477
711.6385, 276.0234
712.1206, 214.4609
712.6027, 161.4961
713.0848, 112.5625
713.5670, 117.0977
714.0491, 218.9609
714.5312, 354.9336
715.0133, 413.4258
715.4954, 366.0977
715.9775, 346.6562
716.4597, 384.1758
716.9418, 419.2852
717.4239, 417.7383
717.9060, 403.2031
718.3881, 411.7266
718.8702, 447.7383
719.3524, 476.6914
719.8345, 463.4414
720.3166, 436.3672
720.7987, 434.4688
721.2808, 452.1055
721.7629, 470.8984
722.2451, 485.6758
722.7272, 493.2852
723.2093, 491.1523
723.6914, 479.6484
724.1735, 459.3242
724.6556, 429.5352
725.1378, 388.7148
725.6199, 315.2305
726.1020, 256.8047
726.5841, 251.3633
727.0662, 287.6406
727.5483, 329.6523
728.0305, 403.5156
728.5126, 432.3086
728.9947, 331.9453
729.4768, 210.7031
729.9589, 189.4219
730.4410, 250.9297
730.9232, 306.5195
731.4053, 311.2383
731.8874, 282.7422
732.3695, 236.6016
732.8516, 177.1016
733.3337, 134.6406
733.8159, 113.2031
734.2980, 89.50391
734.7801, 47.70312
735.2622, 1.449219
