##NAMES=Tenorite
##RRUFFID=R060978
##IDEAL CHEMISTRY=CuO
##LOCALITY=Algomah, Michigan, USA
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Black massive with some prismatic faces, associated with malachite and chrysocolla
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R060978
703.4425, 29.59863
703.9246, 1.782227
704.4067, 21.55078
704.8889, 19.69482
705.3710, 1.773926
705.8531, 12.86768
706.3352, 24.77686
706.8173, 32.14062
707.2994, 28.16943
707.7816, 26.06934
708.2637, 34.01367
708.7458, 49.03320
709.2279, 69.03906
709.7100, 92.53516
710.1921, 107.2129
710.6743, 95.52637
711.1564, 67.41016
711.6385, 46.66992
712.1206, 33.71289
712.6027, 26.00830
713.0848, 22.11035
713.5670, 25.24512
714.0491, 41.67676
714.5312, 73.21631
715.0133, 95.54150
715.4954, 109.3525
715.9775, 112.1929
716.4597, 91.06201
