##NAMES=Palermoite
##RRUFFID=R130090
##IDEAL CHEMISTRY=Li_2_SrAl_4_(PO_4_)_4_(OH)_4_
##LOCALITY=Palermo Mine, N. Groton, New Hampshire, USA
##OWNER=RRUFF
##SOURCE=William W. Pinch and Don Doell
##DESCRIPTION=Colorless prismatic crystal, associated with quartz
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R130090
627.4039, 19.92960
627.8860, 19.05649
628.3681, 18.29736
628.8502, 17.63654
629.3323, 17.22513
629.8145, 17.17450
630.2966, 17.45929
630.7787, 18.20297
631.2608, 19.46591
631.7429, 20.46738
632.2250, 20.35687
632.7072, 19.79321
633.1893, 19.48465
633.6714, 19.68680
634.1535, 20.01883
634.6356, 20.55170
635.1177, 21.10193
635.5999, 21.37823
636.0820, 21.42728
636.5641, 21.03354
637.0462, 19.89877
637.5283, 18.42227
638.0104, 18.08102
638.4926, 19.07922
638.9747, 19.73633
639.4568, 19.04449
639.9389, 17.46683
640.4210, 16.67892
640.9031, 16.64291
641.3853, 16.65970
641.8674, 16.12119
642.3495, 15.40604
642.8316, 15.01480
643.3137, 15.02676
643.7958, 15.03961
644.2780, 14.70801
644.7601, 14.36334
645.2422, 14.31616
645.7243, 15.11591
646.2064, 15.39102
646.6885, 14.44913
647.1707, 13.33832
647.6528, 13.58688
648.1349, 15.77621
648.6170, 17.45474
649.0991, 18.16296
649.5812, 18.12540
650.0634, 17.65994
650.5455, 16.81354
651.0276, 16.30835
651.5097, 16.61285
651.9918, 17.37830
652.4739, 18.15686
652.9561, 18.92703
653.4382, 19.63306
653.9203, 20.54440
654.4024, 21.13849
654.8845, 20.87912
655.3666, 19.62427
655.8488, 18.62332
656.3309, 18.22217
656.8130, 18.14651
657.2951, 18.21063
657.7772, 18.51297
658.2593, 18.66013
658.7415, 18.63852
659.2236, 18.48969
659.7057, 18.30151
660.1878, 18.07196
660.6699, 17.55157
661.1520, 16.65747
661.6342, 15.56705
662.1163, 14.39355
662.5984, 13.21667
663.0805, 12.25046
663.5626, 11.68472
664.0447, 11.25143
664.5269, 11.00662
665.0090, 10.76388
665.4911, 9.975494
665.9732, 7.601196
666.4553, 5.514099
666.9374, 4.626678
667.4196, 4.834503
667.9017, 4.555389
668.3838, 3.429779
668.8659, 2.507874
669.3480, 2.495300
669.8301, 3.374481
670.3123, 3.545410
670.7944, 2.939850
671.2765, 2.149414
671.7586, 1.272278
672.2407, 0.6545720
672.7228, 1.498596
673.2050, 4.287445
673.6871, 6.429718
674.1692, 5.185181
674.6513, 2.548920
675.1334, 0.8707280
675.6155, 1.374115
676.0977, 1.880981
676.5798, 1.876617
677.0619, 1.598877
677.5440, 1.406860
678.0261, 1.397369
678.5082, 1.280365
678.9904, 0.9992070
679.4725, 0.5980830
679.9546, 2.1331999E-02
680.4367, 0.7254030
680.9188, 0.9350280
681.4009, 0.3355710
681.8831, 1.917999
682.3652, 0.9460750
682.8473, 1.994659
683.3294, 3.963470
683.8115, 2.288696
684.2936, 0.2576900
684.7758, 1.737091
685.2579, 2.008026
685.7400, 2.093842
686.2221, 1.863007
686.7042, 1.843323
687.1863, 2.448456
687.6685, 4.023346
688.1506, 4.620026
688.6327, 3.977783
689.1148, 2.897858
689.5969, 2.020325
690.0790, 1.328339
690.5612, 0.6781920
691.0433, 3.3259999E-03
691.5254, 0.4032590
692.0075, 8.7096997E-02
692.4896, 1.037903
692.9717, 1.620758
693.4539, 1.448151
693.9360, 1.173798
694.4181, 1.253784
694.9002, 1.456543
695.3823, 1.418610
695.8644, 0.7918090
696.3466, 0.2643430
696.8287, 0.1151430
697.3108, 0.3088070
697.7929, 0.1512760
698.2750, 0.4915770
698.7571, 1.060303
699.2393, 1.403168
699.7214, 1.542572
700.2035, 1.498291
700.6856, 1.282532
701.1677, 0.9927980
701.6498, 0.5516050
702.1320, 0.1253050
702.6141, 7.4676998E-02
703.0962, 0.3615420
703.5783, 0.5369570
704.0604, 5.0232001E-02
704.5425, 0.3424680
705.0247, 8.6760998E-02
705.5068, 1.051758
705.9889, 1.661499
706.4710, 1.479919
706.9531, 1.087463
707.4352, 0.7739560
707.9174, 0.5114750
708.3995, 0.6333920
708.8816, 1.169067
709.3637, 2.006927
709.8458, 3.676331
710.3279, 5.512726
710.8101, 5.556427
711.2922, 3.050018
711.7743, 0.6003720
712.2564, 0.5695800
712.7385, 1.574921
713.2206, 1.943726
713.7028, 0.4335330
714.1849, 0.6266170
714.6670, 0.5155030
715.1491, 0.1715090
715.6312, 0.6971130
716.1133, 1.084991
716.5955, 1.178375
717.0776, 0.7837220
717.5597, 0.2423100
718.0418, 0.3725280
718.5239, 1.116760
719.0060, 1.927094
719.4882, 2.824982
719.9703, 3.407715
720.4524, 2.778320
720.9345, 1.367401
721.4166, 0.4454960
721.8987, 0.9369810
722.3809, 1.741577
722.8630, 2.555054
723.3451, 3.301910
723.8272, 3.491272
724.3093, 2.697815
724.7914, 1.993164
725.2736, 1.865509
725.7557, 2.224640
726.2378, 2.319031
726.7199, 2.105560
727.2020, 2.007050
727.6841, 2.529816
728.1663, 3.352753
728.6484, 3.664825
729.1305, 3.462799
729.6126, 3.244080
730.0947, 3.606476
730.5768, 3.914673
731.0590, 3.475128
731.5411, 1.956543
732.0232, 0.9719240
732.5053, 0.8934630
732.9874, 1.357544
733.4695, 2.366791
733.9517, 4.404449
734.4338, 5.044403
734.9159, 3.921783
735.3980, 2.425201
735.8801, 2.171295
736.3622, 2.859589
736.8444, 3.216156
737.3265, 3.013245
737.8086, 2.636200
738.2907, 2.220520
738.7728, 1.924194
739.2549, 2.044098
739.7371, 3.084137
740.2192, 3.682007
740.7013, 2.762848
741.1834, 1.252167
741.6655, 0.8434450
742.1476, 2.206726
742.6298, 3.012939
743.1119, 2.845093
743.5940, 2.184937
744.0761, 1.797516
744.5582, 1.684570
745.0403, 1.947235
745.5225, 2.846497
746.0046, 3.713379
746.4867, 3.515106
746.9688, 2.666107
747.4509, 2.065735
747.9330, 2.351379
748.4152, 2.674225
748.8973, 2.678741
749.3794, 2.458649
749.8615, 2.393860
750.3436, 2.707336
750.8257, 2.743744
751.3079, 2.223145
751.7900, 1.371704
752.2721, 1.100830
752.7542, 1.413208
753.2363, 1.589264
753.7184, 0.9946900
754.2006, 0.2395940
754.6827, 0.4875790
755.1648, 1.498474
755.6469, 2.270874
756.1290, 2.046204
756.6111, 1.662415
757.0933, 1.700623
757.5754, 2.125183
758.0575, 1.941742
758.5396, 0.3380740
759.0217, 0.7153930
759.5038, 0.1650090
759.9860, 1.764587
760.4681, 2.367554
760.9502, 1.528900
761.4323, 0.6417850
761.9144, 0.6779790
