##NAMES=Chlorartinite
##RRUFFID=R060878
##IDEAL CHEMISTRY=Mg_2_CO_3_Cl(OH)&#183;2.5H_2_O
##LOCALITY=500m level, Quarry of Udachnaya-Vostochnaya pipe, Yakutia, Russia
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=White fibrous mass, associated with larger crystals of aragonite
##STATUS=The identification of this mineral has been confirmed only by X-ray diffraction
##URL=rruff.info/R060878
667.4196, 0.3758390
667.9017, 0.1115420
668.3838, 4.2719999E-03
668.8659, 1.1879000E-02
669.3480, 0.1232450
669.8301, 0.3975980
670.3123, 0.4584880
670.7944, 0.2792510
671.2765, 9.2545003E-02
671.7586, 0.1428070
672.2407, 0.3316190
672.7228, 0.4222410
673.2050, 0.3658600
673.6871, 0.3190770
674.1692, 0.3863070
674.6513, 0.5329590
675.1334, 0.7254790
675.6155, 1.059898
676.0977, 1.281883
676.5798, 1.270287
677.0619, 1.128685
677.5440, 0.9999470
678.0261, 0.8495180
678.5082, 0.7999340
678.9904, 0.9187090
679.4725, 1.120445
679.9546, 1.160217
680.4367, 1.036407
680.9188, 0.9441830
681.4009, 0.9861530
681.8831, 1.100449
682.3652, 1.200333
682.8473, 1.279411
683.3294, 1.297852
683.8115, 1.057350
684.2936, 0.8831410
684.7758, 1.147072
685.2579, 1.860626
685.7400, 2.260429
686.2221, 1.723068
686.7042, 1.175957
687.1863, 1.131081
687.6685, 1.751335
688.1506, 2.144508
688.6327, 2.214066
689.1148, 2.263466
689.5969, 2.631248
690.0790, 3.288094
690.5612, 3.754601
691.0433, 3.980431
691.5254, 4.014603
692.0075, 3.740929
692.4896, 3.342941
692.9717, 3.171608
693.4539, 3.387856
693.9360, 3.719658
694.4181, 4.094124
694.9002, 4.463715
695.3823, 4.754181
695.8644, 4.851418
696.3466, 5.011818
696.8287, 5.317123
697.3108, 5.674400
697.7929, 5.865578
698.2750, 5.833748
698.7571, 5.939507
699.2393, 6.318886
699.7214, 6.894707
700.2035, 7.495720
700.6856, 8.100655
701.1677, 8.559875
701.6498, 8.808044
702.1320, 8.896606
702.6141, 8.767456
703.0962, 8.442673
703.5783, 8.135384
704.0604, 7.927795
704.5425, 7.772720
705.0247, 7.620300
705.5068, 7.449211
705.9889, 7.343910
706.4710, 7.295525
706.9531, 7.324318
707.4352, 7.491890
707.9174, 7.824448
708.3995, 7.978790
708.8816, 7.917023
709.3637, 7.725136
709.8458, 7.398369
710.3279, 7.046303
710.8101, 6.936493
