##NAMES=Rooseveltite
##RRUFFID=R060804
##IDEAL CHEMISTRY=Bi^3+^As^5+^O_4_
##LOCALITY=Josef mine, Moldava, Czech. Republic
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Blue-gray ill-formed grains, somewhat in spherical shapes
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R060804
513.9655, 94.56885
514.4476, 100.2339
514.9297, 99.59521
515.4118, 79.06006
515.8939, 45.76709
516.3760, 18.97021
516.8582, 11.73486
517.3403, 7.343750
517.8224, 4.495605
518.3045, 28.37842
518.7866, 39.54053
519.2687, 16.98926
519.7509, 8.362793
520.2330, 10.84668
520.7151, 25.76904
521.1972, 54.67822
521.6793, 69.48535
522.1614, 74.89014
522.6436, 85.12842
523.1257, 102.7056
523.6078, 115.8252
524.0899, 117.5854
524.5720, 109.3784
525.0541, 102.7832
525.5363, 97.45752
526.0184, 94.56592
526.5005, 92.05859
526.9826, 92.77295
527.4647, 106.9995
527.9468, 143.8452
528.4290, 180.8530
528.9111, 193.2280
529.3932, 187.1060
529.8753, 178.1357
530.3574, 164.3149
530.8395, 157.6934
531.3217, 171.7090
531.8038, 207.3550
532.2859, 234.0342
532.7680, 233.1641
533.2501, 224.9688
533.7322, 224.1577
534.2144, 248.1084
534.6965, 257.7837
535.1786, 239.4385
535.6607, 210.5137
536.1428, 204.4624
536.6249, 229.9482
537.1070, 259.8960
537.5891, 288.9941
538.0712, 316.6719
538.5533, 335.7021
539.0355, 344.3086
539.5176, 352.0059
539.9997, 369.1567
540.4818, 392.9165
540.9639, 406.8691
541.4460, 408.1475
541.9282, 402.7676
542.4103, 389.9644
542.8924, 375.9136
543.3745, 375.7285
543.8566, 410.3853
544.3387, 450.6665
544.8209, 475.3345
545.3030, 485.4849
545.7851, 486.0898
546.2672, 470.4438
546.7493, 452.6338
547.2314, 440.8013
547.7136, 435.9629
548.1957, 437.4233
548.6778, 452.7495
549.1599, 470.6357
549.6420, 478.4990
550.1241, 466.9961
550.6063, 461.9043
551.0884, 468.4121
551.5705, 483.4390
552.0526, 495.7241
552.5347, 504.5898
553.0168, 513.6309
553.4990, 526.1006
553.9811, 541.1025
554.4632, 549.7119
554.9453, 551.3716
555.4274, 551.2930
555.9095, 553.1504
556.3917, 557.1196
556.8738, 563.6221
557.3559, 576.1797
557.8380, 588.3486
558.3201, 596.2456
558.8022, 599.3320
559.2844, 595.9023
559.7665, 573.6030
560.2486, 555.7129
560.7307, 556.3857
561.2128, 573.9541
561.6949, 586.2407
562.1771, 588.5928
562.6592, 588.4194
563.1413, 587.6226
563.6234, 581.9873
564.1055, 580.6543
564.5876, 587.5508
565.0698, 595.2383
565.5519, 594.5752
566.0340, 586.2339
566.5161, 568.3560
566.9982, 533.9443
567.4803, 494.5991
567.9625, 488.5786
568.4446, 513.5928
568.9267, 536.5786
569.4088, 538.3491
569.8909, 524.7720
570.3730, 502.0498
570.8552, 469.9229
571.3373, 443.5688
571.8194, 433.8662
572.3015, 436.3877
572.7836, 448.1582
573.2657, 484.7656
573.7479, 510.5278
574.2300, 504.9438
574.7121, 477.6982
575.1942, 453.0205
575.6763, 437.6821
576.1584, 424.0659
576.6406, 406.7290
577.1227, 384.0830
577.6048, 374.4175
578.0869, 384.8076
578.5690, 401.7251
579.0511, 415.1938
579.5333, 424.3872
580.0154, 429.3164
580.4975, 430.5151
580.9796, 426.5063
581.4617, 408.9155
581.9438, 381.9351
582.4260, 364.9385
582.9081, 368.5908
583.3902, 380.2944
583.8723, 384.2041
584.3544, 383.0142
584.8365, 386.3623
585.3187, 406.0347
585.8008, 428.0684
586.2829, 441.6274
586.7650, 444.6875
587.2471, 447.7114
587.7292, 453.9033
588.2114, 460.7832
588.6935, 467.0264
589.1756, 477.5518
589.6577, 480.6724
590.1398, 473.3467
590.6219, 459.7715
591.1041, 447.4663
591.5862, 436.8481
592.0683, 425.4380
592.5504, 408.7397
593.0325, 391.9785
593.5146, 397.7964
593.9968, 426.0713
594.4789, 452.9761
594.9610, 461.3423
595.4431, 458.2031
595.9252, 452.7949
596.4073, 445.4307
596.8895, 442.3950
597.3716, 454.2822
597.8537, 470.4707
598.3358, 479.1816
598.8179, 473.4209
599.3000, 465.6436
599.7822, 454.6313
600.2643, 444.5884
600.7464, 444.3340
601.2285, 466.5112
601.7106, 482.4189
602.1927, 479.9688
602.6749, 463.6509
603.1570, 473.1992
603.6391, 518.0664
604.1212, 560.9043
604.6033, 579.2954
605.0854, 574.6621
605.5676, 563.8857
606.0497, 546.3608
606.5318, 529.3213
607.0139, 514.3716
607.4960, 505.9727
607.9781, 516.3960
608.4603, 557.9551
608.9424, 600.4028
609.4245, 619.1211
609.9066, 621.2319
610.3887, 620.2280
610.8708, 624.6177
611.3530, 622.7036
611.8351, 603.3735
612.3172, 568.7026
612.7993, 551.8896
613.2814, 567.5708
613.7635, 585.6211
614.2457, 591.8149
614.7278, 583.1558
615.2099, 581.7222
615.6920, 588.8936
616.1741, 599.9619
616.6563, 612.8018
617.1384, 626.5693
617.6205, 631.1558
618.1026, 622.1177
618.5847, 610.6450
619.0668, 610.7017
619.5489, 619.5986
620.0310, 630.7603
620.5131, 644.6099
620.9952, 656.8584
621.4774, 666.2666
621.9595, 672.0669
622.4416, 670.8701
622.9237, 651.4146
623.4058, 633.1597
623.8879, 626.1860
624.3701, 634.1675
624.8522, 637.9521
625.3343, 634.5112
625.8164, 630.5815
626.2985, 631.6611
626.7806, 638.3608
627.2628, 647.0737
627.7449, 658.1724
628.2270, 669.7476
628.7091, 680.6265
629.1912, 690.0034
629.6733, 693.6924
630.1555, 691.7812
630.6376, 682.9419
631.1197, 655.9233
631.6018, 616.9937
632.0839, 589.8306
632.5660, 595.3247
633.0482, 610.4087
633.5303, 623.0918
634.0124, 632.5879
634.4945, 642.7471
634.9766, 643.7451
635.4587, 643.6577
635.9409, 648.2554
636.4230, 666.3115
636.9051, 670.8462
637.3872, 657.4541
637.8693, 640.3818
638.3514, 634.9917
638.8336, 645.4883
639.3157, 655.1299
639.7978, 663.1304
640.2799, 669.6055
640.7620, 680.2729
641.2441, 693.0298
641.7263, 701.0581
642.2084, 695.9863
642.6905, 689.4756
643.1726, 690.4297
643.6547, 698.0889
644.1368, 708.7729
644.6190, 729.0518
645.1011, 746.6523
645.5832, 751.4658
646.0653, 734.9160
646.5474, 733.1826
647.0295, 760.4604
647.5117, 789.3813
647.9938, 793.1113
648.4759, 764.2900
648.9580, 751.4746
649.4401, 759.0146
649.9222, 776.4878
650.4044, 796.4790
650.8865, 818.4131
651.3686, 829.7236
651.8507, 820.3540
652.3328, 801.5537
652.8149, 788.3550
653.2971, 783.1699
653.7792, 783.3481
654.2613, 786.8813
654.7434, 788.7656
655.2255, 789.3398
655.7076, 789.5752
656.1898, 785.8550
656.6719, 761.7646
657.1540, 749.3623
657.6361, 767.2397
658.1182, 825.3936
658.6003, 860.1152
659.0825, 867.1631
659.5646, 860.2305
660.0467, 847.7671
660.5288, 829.7480
661.0109, 820.2314
661.4930, 827.0107
661.9752, 833.4277
662.4573, 808.7915
662.9394, 765.8994
663.4215, 734.0542
663.9036, 732.8184
664.3857, 739.5474
664.8679, 744.3911
665.3500, 748.2061
665.8321, 752.2148
666.3142, 765.9478
666.7963, 768.2627
667.2784, 744.4482
667.7606, 696.5127
668.2427, 681.3730
668.7248, 711.6650
669.2069, 740.8081
669.6890, 738.1387
670.1711, 706.4355
670.6533, 684.6865
671.1354, 674.3545
671.6175, 667.3628
672.0996, 654.8135
672.5817, 639.5010
673.0638, 627.8428
673.5460, 623.0918
674.0281, 617.7983
674.5102, 608.7573
674.9923, 595.2837
675.4744, 576.5215
675.9565, 539.6250
676.4387, 513.6216
676.9208, 509.2856
677.4029, 518.4712
677.8850, 524.3169
678.3671, 527.9321
678.8492, 524.4272
679.3314, 509.6753
679.8135, 486.7876
680.2956, 467.9595
680.7777, 453.1470
681.2598, 443.8696
681.7419, 444.6880
682.2241, 450.1880
682.7062, 451.5806
683.1883, 448.5571
683.6704, 443.0234
684.1525, 435.3887
684.6346, 426.3408
685.1168, 416.2300
685.5989, 404.5483
686.0810, 393.8301
686.5631, 391.4165
687.0452, 386.0615
687.5273, 364.6968
688.0095, 314.7812
688.4916, 288.5132
688.9737, 297.5967
689.4558, 321.1260
689.9379, 324.3945
690.4200, 308.7739
690.9022, 286.4531
691.3843, 251.4526
691.8664, 118.9116
692.3485, 169.2998
692.8306, 196.6748
693.3127, 202.2759
693.7949, 121.2861
694.2770, 151.7964
694.7591, 137.4243
695.2412, 121.0752
695.7233, 166.8774
696.2054, 97.75684
