##NAMES=Waylandite
##RRUFFID=R130361
##IDEAL CHEMISTRY=BiAl_3_(PO_4_)_2_(OH)_6_
##LOCALITY=Ngussa, Kivu, Zaire
##OWNER=RRUFF
##SOURCE=Rock Currier
##DESCRIPTION=Colorless to pale brown crystals, associated with prismatic dark brown or bluish fluor-dravite
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R130361
464.3576, 1.817810
464.8398, 1.095947
465.3219, 0.4546200
465.8040, 7.7758998E-02
466.2861, 0.1467290
466.7682, 0.7648620
467.2503, 2.848907
467.7325, 4.077148
468.2146, 4.056610
468.6967, 3.566559
469.1788, 2.268097
469.6609, 0.7677920
470.1430, 9.9179996E-03
470.6252, 0.3604130
471.1073, 1.298004
471.5894, 1.795471
472.0715, 1.767517
472.5536, 1.677307
473.0357, 1.322662
473.5179, 1.167816
474.0000, 1.827606
474.4821, 3.030518
474.9642, 3.676666
475.4463, 2.692719
475.9284, 0.8609920
476.4106, 0.1239620
476.8927, 0.1776430
477.3748, 0.1326290
477.8569, 0.7817990
478.3390, 1.519379
478.8211, 1.985413
479.3033, 2.167969
479.7854, 2.065430
480.2675, 1.390320
480.7496, 0.4979250
481.2317, 3.0243000E-02
481.7138, 0.1022030
482.1959, 0.5272830
482.6780, 1.322418
483.1602, 2.441742
483.6423, 2.755280
484.1244, 1.494537
484.6065, 0.3146670
485.0886, 0.1620180
485.5707, 9.3231000E-02
486.0529, 0.3388370
486.5350, 1.058746
487.0171, 1.749481
487.4992, 1.835266
487.9813, 0.9155880
488.4634, 0.4966130
488.9456, 0.8968510
489.4277, 1.440857
489.9098, 1.985657
490.3919, 2.406952
490.8740, 2.379852
491.3561, 1.637665
491.8383, 0.5251770
492.3204, 1.7151000E-02
492.8025, 0.3086850
493.2846, 0.6717830
493.7667, 1.023895
494.2488, 1.400146
494.7310, 1.888214
495.2131, 2.436005
495.6952, 2.738525
496.1773, 2.352325
496.6594, 1.568390
497.1415, 1.291809
497.6237, 1.679718
498.1058, 1.935944
498.5879, 1.391693
499.0700, 0.5211790
499.5521, 0.2644350
500.0342, 0.9118040
500.5164, 1.669464
500.9985, 2.031708
501.4806, 2.237488
501.9627, 2.871887
502.4448, 4.081726
502.9269, 5.100830
503.4091, 5.046204
503.8912, 3.866516
504.3733, 3.424500
504.8554, 4.457306
505.3375, 5.318695
505.8196, 5.181305
506.3018, 4.573181
506.7839, 4.369812
507.2660, 4.873779
507.7481, 5.646667
508.2302, 6.004242
508.7123, 5.711670
509.1945, 5.622864
509.6766, 5.946503
510.1587, 6.375031
510.6408, 6.856110
511.1229, 7.347504
511.6050, 7.801208
512.0872, 8.199036
512.5693, 8.529297
513.0514, 8.658020
513.5335, 8.503052
514.0156, 8.870514
514.4977, 10.38281
514.9799, 11.89478
515.4620, 12.56625
515.9441, 12.49445
516.4262, 12.23987
516.9083, 11.76093
517.3904, 11.37994
517.8726, 11.71576
518.3547, 12.76114
518.8368, 13.68182
519.3189, 13.98425
519.8010, 14.04568
520.2831, 14.85663
520.7653, 16.87189
521.2474, 18.17618
521.7295, 18.09659
522.2116, 17.42114
522.6937, 16.70264
523.1758, 16.04379
523.6580, 15.41611
524.1401, 14.79236
524.6222, 14.20587
525.1043, 13.81940
525.5864, 13.99536
526.0685, 13.85049
526.5507, 12.98560
527.0328, 12.01083
527.5149, 11.51807
527.9970, 11.50787
528.4791, 11.46432
528.9612, 10.97260
529.4434, 10.06238
529.9255, 8.756470
530.4076, 6.667297
530.8897, 5.101593
531.3718, 5.117554
531.8539, 5.717407
532.3361, 5.938446
532.8182, 5.628845
533.3003, 5.020813
533.7824, 4.042877
534.2645, 2.916962
534.7466, 2.103485
535.2288, 1.667877
535.7109, 1.487762
536.1930, 1.518707
536.6751, 1.740265
537.1572, 1.987152
537.6393, 2.445221
538.1215, 2.693329
538.6036, 2.447144
539.0857, 2.002808
539.5678, 1.704468
540.0499, 1.632050
540.5320, 1.706451
541.0142, 1.877228
541.4963, 2.151703
541.9784, 2.231171
542.4604, 1.977081
542.9426, 1.675751
543.4247, 1.311859
543.9068, 0.9669190
544.3889, 0.7737430
544.8710, 0.7557980
545.3531, 0.7163390
545.8353, 0.2724610
546.3174, 0.5018010
546.7995, 0.5849610
547.2816, 0.4203800
547.7637, 1.385437
548.2458, 1.471100
548.7280, 1.078827
549.2101, 0.8529970
549.6922, 1.035858
550.1743, 1.108582
550.6564, 0.5812680
551.1385, 0.2604370
551.6207, 0.8191220
552.1028, 0.9671630
552.5849, 0.9296260
553.0670, 0.9144900
553.5491, 0.9203800
554.0313, 0.7640380
554.5134, 0.2964480
554.9955, 0.1347960
555.4776, 0.5512700
555.9597, 0.8292850
556.4418, 0.7574460
556.9240, 0.3117070
557.4061, 0.2591860
557.8882, 0.7330930
558.3703, 1.119080
558.8524, 1.104431
559.3345, 0.3647770
559.8167, 0.3121640
560.2988, 0.6908570
560.7809, 0.8495790
561.2630, 0.8103940
561.7451, 0.5508420
562.2272, 0.3880000
562.7094, 0.7753300
563.1915, 1.492981
563.6736, 1.779388
564.1557, 1.504150
564.6378, 0.9888610
565.1199, 0.2651060
565.6021, 0.4967350
566.0842, 0.6407170
566.5663, 0.3715520
567.0484, 1.236359
567.5305, 1.277130
568.0126, 1.040527
568.4948, 1.380493
568.9769, 2.354523
569.4590, 3.151306
569.9411, 2.974976
570.4232, 1.880646
570.9053, 0.9083860
571.3875, 0.3130490
571.8696, 0.8707580
572.3517, 5.0322998E-02
572.8338, 1.241180
573.3159, 1.396210
573.7980, 0.4170230
574.2802, 0.5206300
574.7623, 0.2880860
575.2444, 0.8487850
575.7265, 1.879517
576.2086, 2.876648
576.6907, 3.442047
577.1729, 3.152679
577.6550, 2.433838
578.1371, 1.970093
578.6192, 1.796265
579.1013, 1.771545
579.5834, 2.000671
580.0656, 2.258209
580.5477, 2.217407
581.0298, 1.906158
581.5119, 1.628235
581.9940, 1.552460
582.4761, 1.695953
582.9583, 2.132629
583.4404, 3.318481
583.9225, 4.096008
584.4046, 4.258026
584.8867, 4.183563
585.3688, 3.974243
585.8510, 3.740936
