##NAMES=Enstatite
##RRUFFID=R120168
##IDEAL CHEMISTRY=MgSiO_3_
##LOCALITY=Merensky Reef, Rustenburg, Brushveld District, South Africa
##OWNER=RRUFF
##SOURCE=Rock Currier
##DESCRIPTION=Dark green, massive
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R120168
565.6021, 21.64307
566.0842, 21.57135
566.5663, 22.22620
567.0484, 22.47693
567.5305, 21.68451
568.0126, 20.40485
568.4948, 19.19580
568.9769, 18.22504
569.4590, 17.62213
569.9411, 17.61066
570.4232, 18.13232
570.9053, 18.03467
571.3875, 16.62500
571.8696, 15.51611
572.3517, 14.98541
572.8338, 14.82623
573.3159, 15.05731
573.7980, 15.57135
574.2802, 15.79150
574.7623, 15.04834
575.2444, 13.57184
575.7265, 12.28156
576.2086, 11.17035
576.6907, 10.28638
577.1729, 9.788940
577.6550, 9.475647
578.1371, 8.950256
578.6192, 8.093079
579.1013, 7.538940
579.5834, 7.737488
580.0656, 8.240356
580.5477, 8.590271
581.0298, 8.739258
581.5119, 8.717163
581.9940, 8.499084
582.4761, 8.204224
582.9583, 8.250244
583.4404, 9.037842
583.9225, 9.549805
584.4046, 9.487610
584.8867, 9.389526
585.3688, 9.808472
585.8510, 10.53284
586.3331, 10.82086
586.8152, 10.13184
587.2973, 8.858704
587.7794, 7.905701
588.2615, 7.317688
588.7437, 6.660095
589.2258, 5.358765
589.7079, 4.497009
590.1900, 5.686523
590.6721, 8.484680
591.1542, 9.934753
591.6364, 7.952820
592.1185, 5.281433
592.6006, 4.383484
593.0827, 4.752197
593.5648, 4.737183
594.0469, 3.730042
594.5291, 2.340576
595.0112, 1.369568
595.4933, 0.8198240
595.9754, 0.7316280
596.4575, 1.966736
596.9396, 2.650208
597.4218, 1.359680
597.9039, 0.6148680
598.3860, 1.189880
598.8681, 0.2945560
599.3502, 2.181335
599.8323, 2.279358
600.3145, 0.6649170
600.7966, 0.4127810
601.2787, 0.6885990
601.7608, 0.8007200
602.2429, 1.212036
602.7250, 1.662170
603.2072, 1.690308
603.6893, 1.128784
604.1714, 0.5038450
604.6535, 0.2114260
605.1356, 0.6962890
605.6177, 0.2662960
606.0999, 1.055176
606.5820, 2.391418
607.0641, 3.155090
607.5462, 3.372681
608.0283, 3.151611
608.5104, 1.907288
608.9926, 1.050781
609.4747, 0.8922120
609.9568, 0.9084470
610.4389, 0.7614750
610.9210, 0.4434810
611.4031, 5.9509002E-02
611.8853, 0.4145510
612.3674, 0.7680050
612.8495, 0.3135990
613.3316, 1.078186
613.8137, 1.661377
614.2958, 0.4479370
614.7780, 0.9657590
615.2601, 0.6156620
615.7422, 1.140320
616.2243, 2.087585
616.7064, 1.304749
617.1885, 5.4565001E-02
617.6707, 1.108521
618.1528, 2.106201
618.6349, 2.770874
619.1170, 3.060974
619.5991, 3.182373
620.0812, 3.329956
620.5634, 3.477783
621.0455, 4.028503
621.5276, 5.399902
622.0097, 6.672546
622.4918, 7.964966
622.9739, 8.893799
623.4561, 8.653076
623.9382, 7.249451
624.4203, 6.341431
624.9023, 7.927063
625.3845, 10.94690
625.8666, 12.38519
626.3487, 12.05817
626.8308, 11.63428
627.3129, 11.75629
627.7950, 12.33362
628.2772, 13.41797
628.7593, 15.28436
629.2414, 16.32587
629.7235, 15.22559
630.2056, 14.19214
630.6877, 15.00873
631.1699, 17.12775
631.6520, 19.01996
632.1341, 19.97784
632.6162, 20.54224
633.0983, 21.64502
633.5804, 23.41620
634.0626, 25.06903
634.5447, 26.29651
635.0268, 27.80444
635.5089, 30.18292
635.9910, 32.91400
636.4731, 35.06909
636.9553, 36.22357
637.4374, 37.70587
637.9195, 40.65259
638.4016, 44.50067
638.8837, 48.31195
639.3658, 51.95367
639.8480, 55.50995
640.3301, 59.02869
640.8122, 62.49567
641.2943, 65.89117
641.7764, 68.45465
642.2585, 72.10309
642.7407, 78.10437
643.2228, 84.04407
643.7049, 87.86945
644.1870, 90.36707
644.6691, 93.83215
645.1512, 99.51654
645.6334, 106.3902
646.1155, 113.0059
646.5976, 119.3644
647.0797, 125.1024
647.5618, 129.7145
648.0439, 134.6112
648.5261, 140.6609
649.0082, 147.8719
649.4903, 156.1776
649.9724, 166.5894
650.4545, 176.5161
650.9366, 184.4586
651.4188, 191.6075
651.9009, 199.2775
652.3830, 207.6218
652.8651, 216.2381
653.3472, 224.9340
653.8293, 233.4359
654.3115, 240.6521
654.7936, 245.8249
655.2757, 251.4435
655.7578, 259.8858
656.2399, 266.9621
656.7220, 269.9801
657.2042, 269.6671
657.6863, 268.6815
658.1684, 268.0292
658.6505, 267.0138
659.1326, 264.8743
659.6147, 261.9216
660.0969, 258.8461
660.5790, 255.7969
661.0611, 252.8981
661.5432, 250.1202
662.0253, 247.5723
662.5074, 246.4069
662.9896, 247.5798
663.4717, 248.8166
663.9538, 249.0153
