##NAMES=Vanadiocarpholite
##RRUFFID=R080099
##IDEAL CHEMISTRY=Mn^2+^V^3+^AlSi_2_O_6_(OH)_4_
##LOCALITY=Molinello mine, Graveglia Valley, Ne, Genova Province, Liguria, Italy
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Yellow brown fibrous, associated with quartz crystals on matrix
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R080099
608.2184, 12.38641
608.7005, 12.05287
609.1826, 11.78848
609.6647, 11.63750
610.1469, 11.87210
610.6290, 12.02042
611.1111, 11.71700
611.5932, 10.92444
612.0753, 10.24542
612.5574, 9.902466
613.0396, 9.621498
613.5217, 9.240433
614.0038, 8.687187
614.4859, 8.205307
614.9680, 7.793480
615.4501, 7.453339
615.9323, 7.204933
616.4144, 7.053749
616.8965, 6.901917
617.3786, 6.744125
617.8607, 6.555222
618.3428, 6.290245
618.8250, 5.955345
619.3071, 5.576591
619.7892, 5.102966
620.2713, 4.637344
620.7534, 4.301903
621.2355, 4.072403
621.7177, 3.850212
622.1998, 3.534088
622.6819, 3.256935
623.1640, 3.171730
623.6461, 3.361214
624.1282, 3.229874
624.6104, 2.407906
625.0925, 1.518105
625.5746, 0.9474490
626.0567, 0.7747960
626.5388, 0.6979290
627.0209, 0.7551800
627.5031, 0.8309170
627.9852, 0.7111280
628.4673, 0.4123760
628.9494, 0.3097460
629.4315, 0.6131440
629.9136, 0.9282460
630.3958, 0.4354630
630.8779, 0.5856930
631.3600, 1.290680
631.8421, 0.8957900
632.3242, 0.3301390
632.8063, 0.3465350
633.2885, 0.8464430
633.7706, 1.239395
634.2527, 1.263779
634.7348, 1.179077
635.2169, 1.048264
635.6990, 0.8283230
636.1812, 0.8908310
636.6633, 1.407585
637.1454, 1.992554
637.6275, 2.395531
638.1096, 2.622856
638.5917, 2.624161
639.0739, 2.355934
639.5560, 1.987923
640.0381, 1.682716
640.5202, 1.449448
641.0023, 1.346252
641.4844, 1.430611
641.9666, 1.560638
642.4487, 1.666557
642.9308, 1.701012
643.4129, 1.561066
643.8950, 0.9851070
644.3771, 0.4351730
644.8593, 0.2450940
645.3414, 0.3138890
645.8235, 7.8560002E-02
646.3056, 1.122520
646.7877, 2.029594
647.2698, 2.067429
647.7520, 1.186363
648.2341, 1.026604
648.7162, 1.828339
649.1983, 2.689308
649.6804, 2.852821
650.1625, 2.409866
650.6447, 2.234497
651.1268, 2.384544
651.6089, 2.693695
652.0910, 3.030106
652.5731, 3.395004
653.0552, 3.795189
653.5374, 3.217216
654.0195, 5.307884
654.5016, 6.703438
654.9837, 7.441116
655.4658, 5.550636
655.9479, 7.053856
656.4301, 7.197205
656.9122, 7.284637
657.3943, 9.265625
657.8764, 7.757477
658.3585, 9.708519
658.8406, 10.27873
659.3228, 10.38780
659.8049, 10.83826
660.2870, 11.20364
660.7691, 11.47675
661.2512, 11.81130
661.7333, 12.29086
662.2155, 12.89896
662.6976, 13.66216
663.1797, 13.59391
663.6618, 15.82751
664.1439, 17.36600
664.6260, 18.24673
665.1082, 16.49964
665.5903, 18.14609
666.0724, 18.43252
666.5545, 18.66315
667.0366, 20.78735
667.5187, 19.42249
668.0009, 21.51727
668.4830, 22.23134
668.9651, 23.57771
