##NAMES=Cristobalite
##RRUFFID=R061064
##IDEAL CHEMISTRY=SiO_2_
##LOCALITY=Ellora Caves, India
##OWNER=RRUFF
##SOURCE=Harvard Mineralogical Museum
##DESCRIPTION=Colorless single crystals, octahedra and groups of octahedra, some have transformed to quartz
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R061064
##MEASURED CHEMISTRY=Si_1.00_O_2_·0.11H_2_O ; trace amounts of Al and Na; H_2_O by difference, verified by Raman spectroscopy
631.2263, 51.01416
631.7084, 36.59265
632.1905, 45.87769
632.6726, 56.22791
633.1547, 65.79639
633.6368, 70.65649
634.1190, 64.68335
634.6011, 49.57874
635.0832, 37.03931
635.5653, 20.70703
636.0474, 15.72681
636.5295, 39.08325
637.0117, 70.01611
637.4938, 84.18298
637.9759, 79.43347
638.4580, 69.76758
638.9401, 66.10229
639.4222, 65.69641
639.9044, 58.69250
640.3865, 43.79956
640.8686, 33.49341
641.3507, 31.83398
641.8328, 33.96960
642.3149, 35.16321
642.7971, 35.83057
643.2792, 39.48071
643.7613, 55.26855
644.2434, 63.96851
644.7255, 52.24487
645.2076, 31.96191
645.6898, 15.64343
646.1719, 6.536743
646.6540, 4.893433
647.1361, 12.75208
647.6182, 26.20581
648.1003, 33.84216
648.5825, 35.66748
649.0646, 32.92273
649.5467, 23.61035
650.0288, 13.39270
650.5109, 8.065674
650.9930, 7.393433
651.4752, 7.665283
651.9573, 10.87622
652.4394, 12.42346
652.9215, 4.250977
653.4036, 2.675537
653.8857, 9.199219
654.3679, 38.23645
654.8500, 61.60559
655.3321, 60.18677
655.8142, 42.23364
656.2963, 25.96411
656.7784, 11.06445
657.2606, 6.953247
657.7427, 20.98572
658.2248, 35.77441
658.7069, 30.03870
659.1890, 4.595459
659.6711, 2.069946
660.1533, 32.66309
660.6354, 57.53455
661.1175, 50.21375
661.5996, 32.46240
662.0817, 24.44299
662.5638, 28.52454
663.0459, 38.18359
663.5280, 52.94739
664.0101, 64.99915
664.4922, 53.66174
664.9744, 21.17090
665.4565, 1.674072
665.9386, 4.512451
666.4207, 15.79321
666.9028, 24.62769
667.3849, 30.90112
667.8671, 33.05371
668.3492, 24.97046
668.8313, 21.32544
669.3134, 31.14929
669.7955, 40.69409
670.2776, 35.96802
670.7598, 19.91638
671.2419, 7.340698
671.7240, 8.035156
672.2061, 12.64502
672.6882, 6.000977
673.1703, 7.944702
673.6525, 10.69324
674.1346, 1.915405
674.6167, 14.02686
675.0988, 11.94531
675.5809, 1.000977
676.0630, 6.405640
676.5452, 2.832397
677.0273, 7.643799
677.5094, 2.809570
677.9915, 2.509155
678.4736, 1.893066
678.9557, 2.797852
679.4379, 5.591919
679.9200, 3.331421
680.4021, 0.9490970
680.8842, 1.269287
681.3663, 4.805054
681.8484, 14.89917
682.3306, 30.95093
682.8127, 44.60938
683.2948, 50.84106
