##NAMES=Slavikite
##RRUFFID=R080048
##IDEAL CHEMISTRY=(H_3_O^+^)_3_Mg_6_Fe_15_(SO_4_)_21_(OH)_18_&#183;98H_2_O
##LOCALITY=Mandat, Bohmen, Czech Republic
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Mustard yellow, massive efflorescence
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R080048
512.5267, 0.2719730
513.0089, 0.2138210
513.4910, 0.6160280
513.9731, 0.6227420
514.4552, 0.3402250
514.9373, 3.6346000E-02
515.4194, 0.1414640
515.9016, 0.1963650
516.3837, 9.5992997E-02
516.8658, 0.2677150
517.3479, 0.4884340
517.8300, 0.3672180
518.3121, 0.1843410
518.7943, 0.1144560
519.2764, 0.1478580
519.7585, 0.1585850
520.2406, 4.0192001E-02
520.7227, 0.1448970
521.2048, 0.2307890
521.6870, 0.1934360
522.1691, 0.2731780
522.6512, 0.7605440
523.1333, 1.286392
523.6154, 1.195221
524.0975, 0.3217160
524.5797, 0.3951720
525.0618, 0.5251010
525.5439, 0.3475340
526.0260, 0.1657560
526.5081, 2.2781000E-02
526.9902, 6.9808997E-02
527.4724, 9.5963001E-02
527.9545, 6.8572998E-02
528.4366, 6.3369997E-02
528.9187, 0.1237030
529.4008, 0.1498260
529.8829, 0.1065670
530.3651, 3.7354000E-02
530.8472, 1.3000000E-02
531.3293, 3.9429002E-02
531.8114, 6.7962997E-02
532.2935, 0.1176910
532.7756, 0.1897430
533.2578, 0.3347780
533.7399, 0.7426300
534.2220, 0.9206850
534.7041, 0.4916530
535.1862, 7.0679002E-02
535.6683, 0.1890560
536.1505, 0.2580570
536.6326, 0.6896820
537.1147, 0.3864140
537.5968, 0.4346470
538.0789, 0.6991420
538.5610, 0.2059020
539.0432, 0.4737400
539.5253, 1.192871
540.0074, 1.786301
540.4895, 1.835953
540.9716, 0.9524990
541.4537, 0.1508790
541.9359, 4.3747000E-02
542.4180, 0.2007750
542.9001, 0.7209010
543.3822, 1.468735
543.8643, 2.089508
544.3464, 2.207352
544.8286, 1.804840
545.3107, 1.500092
545.7928, 1.071060
546.2749, 0.9841460
546.7570, 1.584137
547.2391, 2.487137
547.7213, 3.324112
548.2034, 3.958115
548.6855, 4.305939
549.1676, 4.161438
549.6497, 3.471329
550.1318, 3.155045
550.6140, 3.416946
551.0961, 3.775467
551.5782, 4.041580
552.0603, 4.283813
552.5424, 4.625122
553.0245, 5.126282
553.5067, 5.561020
553.9888, 5.665848
554.4709, 5.524780
554.9530, 5.432236
555.4351, 5.415298
555.9172, 5.519760
556.3994, 5.812134
556.8815, 6.270325
557.3636, 6.736511
557.8457, 7.382019
558.3278, 7.814301
558.8099, 7.704819
559.2921, 7.368713
559.7742, 7.296539
560.2563, 7.594971
560.7384, 8.032806
561.2205, 8.385162
561.7026, 8.655640
562.1848, 8.771622
562.6669, 8.516006
563.1490, 8.354294
563.6311, 8.447617
564.1132, 8.639801
564.5953, 8.741074
565.0775, 8.723785
565.5596, 8.721558
566.0417, 8.957993
566.5238, 9.391479
567.0059, 9.563675
567.4880, 9.431015
567.9702, 9.116730
568.4523, 8.410828
568.9344, 7.660690
569.4165, 7.422867
569.8986, 7.904434
570.3807, 8.421326
570.8629, 8.709061
571.3450, 8.727386
571.8271, 8.284470
572.3092, 7.376694
572.7913, 6.604752
573.2734, 6.457870
573.7556, 6.830215
574.2377, 6.928299
574.7198, 6.343887
575.2019, 6.035538
575.6840, 6.418243
576.1661, 6.936417
576.6483, 7.122162
577.1304, 6.905548
577.6125, 6.413788
578.0946, 5.683090
578.5767, 4.788452
579.0588, 4.278076
579.5410, 4.391312
580.0231, 4.357864
580.5052, 3.702103
580.9873, 2.943985
581.4694, 2.551132
581.9515, 2.598068
582.4337, 2.747925
582.9158, 2.881454
583.3979, 2.959839
583.8800, 2.845551
584.3621, 2.550201
584.8442, 2.423645
585.3264, 2.703445
585.8085, 3.157822
586.2906, 3.301849
586.7727, 3.054565
587.2548, 2.756241
587.7369, 2.313538
588.2191, 1.944519
588.7012, 1.802261
589.1833, 1.857162
589.6654, 1.998123
590.1475, 2.165039
590.6296, 2.390137
591.1118, 2.790466
591.5939, 3.489105
592.0760, 3.961395
592.5581, 4.068024
593.0402, 4.018173
593.5223, 3.810410
594.0045, 3.543625
594.4866, 3.391617
594.9687, 3.494080
595.4508, 3.572678
595.9329, 3.265594
596.4150, 2.705734
596.8972, 2.348160
597.3793, 2.289001
597.8614, 2.441971
598.3435, 2.856705
598.8256, 3.503708
599.3077, 3.669662
599.7899, 2.768600
600.2720, 2.064911
600.7541, 2.084930
601.2362, 2.552795
601.7183, 3.154541
602.2004, 3.784348
602.6826, 4.405518
603.1647, 4.979568
603.6468, 5.506775
604.1289, 6.005966
604.6110, 6.479828
605.0931, 6.915955
605.5753, 7.233643
606.0574, 7.562393
606.5395, 8.034790
607.0216, 8.663864
607.5037, 9.354828
607.9858, 10.25665
608.4680, 11.10399
608.9501, 11.21317
609.4322, 10.55742
609.9143, 10.01073
610.3964, 9.983612
610.8785, 10.31607
611.3607, 10.71631
611.8428, 11.20396
612.3249, 11.69240
612.8070, 12.24203
613.2891, 12.73010
613.7712, 12.99576
614.2534, 13.13937
614.7355, 13.46016
615.2176, 14.11200
615.6997, 14.80438
616.1818, 14.84161
616.6639, 13.90820
