##NAMES=Magnesiotaaffeite-2N2S
##RRUFFID=X090001
##IDEAL CHEMISTRY=Mg_3_BeAl_8_O_16_
##LOCALITY=Ratnapura, Sri Lanka
##OWNER=Bill Pinch
##SOURCE=William W. Pinch
##DESCRIPTION=Dark grey with a hint of purple, flattened tabular hexagonal crystal
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/X090001
540.2587, 0.6491550
540.7408, 0.6754760
541.2230, 0.9311980
541.7051, 1.417297
542.1872, 2.173859
542.6693, 2.848892
543.1514, 3.065109
543.6335, 2.960251
544.1157, 2.788452
544.5978, 2.607056
545.0799, 2.414886
545.5620, 2.119766
546.0441, 1.811111
546.5262, 1.709259
547.0084, 1.825500
547.4905, 2.228210
547.9726, 3.145264
548.4547, 4.649200
548.9368, 5.645462
549.4189, 5.489288
549.9011, 5.245148
550.3832, 5.562119
550.8653, 6.863846
551.3474, 7.714981
551.8295, 7.981277
552.3116, 7.916763
552.7938, 7.818756
553.2759, 7.665268
553.7580, 7.735092
554.2401, 8.288010
554.7222, 8.954926
555.2043, 8.512253
555.6865, 7.085464
556.1686, 6.010864
556.6507, 6.389633
557.1328, 7.530869
557.6149, 8.489029
558.0970, 9.213715
558.5792, 9.717789
559.0613, 10.23483
559.5434, 10.42885
560.0255, 9.841400
560.5076, 7.683929
560.9897, 6.002518
561.4719, 5.571701
561.9540, 6.033386
562.4361, 6.807312
562.9182, 8.218216
563.4003, 9.360794
563.8824, 9.891449
564.3646, 10.00615
564.8467, 10.88846
565.3288, 12.87064
565.8109, 15.02855
566.2930, 16.86864
566.7751, 18.39294
567.2573, 20.19116
567.7394, 22.30493
568.2215, 24.44849
568.7036, 26.19417
569.1857, 27.70454
569.6678, 29.64333
570.1500, 32.18489
570.6321, 35.21515
571.1142, 38.89876
571.5963, 42.89162
572.0784, 46.46555
572.5605, 48.49454
573.0427, 50.72324
573.5248, 54.58080
574.0069, 59.76460
574.4890, 64.46869
574.9711, 67.82732
575.4532, 70.86177
575.9354, 73.93199
576.4175, 76.89476
576.8996, 80.16612
577.3817, 84.11922
577.8638, 88.07025
578.3459, 91.43216
578.8281, 94.03856
579.3102, 96.40662
579.7923, 98.61575
580.2744, 100.6300
580.7565, 102.3931
581.2386, 103.8420
581.7208, 104.6978
582.2029, 105.0303
582.6850, 104.6610
583.1671, 103.2351
583.6492, 100.8004
584.1313, 97.65100
584.6134, 93.33780
585.0955, 88.75027
585.5776, 84.62714
586.0598, 81.02768
586.5419, 77.98535
587.0240, 76.37947
587.5061, 74.81070
587.9882, 72.08582
588.4703, 66.17090
588.9525, 61.54103
589.4346, 58.97896
589.9167, 57.60657
590.3988, 55.98820
590.8809, 53.98450
591.3630, 52.23784
591.8452, 50.94313
592.3273, 49.90437
592.8094, 48.28755
593.2915, 46.09125
593.7736, 44.45067
594.2557, 44.22542
594.7379, 44.97493
595.2200, 45.76573
595.7021, 46.57050
596.1842, 47.27773
596.6663, 48.00508
597.1484, 48.49260
597.6306, 48.27213
598.1127, 46.91980
598.5948, 45.89047
599.0769, 46.23189
599.5590, 47.16920
600.0411, 47.72795
600.5233, 47.82950
601.0054, 47.36954
601.4875, 46.28404
601.9696, 44.63651
602.4517, 42.44734
602.9338, 39.11424
603.4160, 36.55196
603.8981, 35.87120
604.3802, 36.74712
604.8623, 35.47055
605.3444, 31.75574
605.8265, 28.11511
606.3087, 26.86423
606.7908, 27.15742
607.2729, 26.57928
607.7550, 24.86050
608.2371, 22.74980
608.7192, 20.52548
609.2014, 18.44336
609.6835, 16.82811
610.1656, 15.92317
610.6477, 15.30704
611.1298, 15.20740
611.6119, 15.20416
612.0941, 14.54266
612.5762, 12.12930
613.0583, 10.11819
613.5404, 8.984543
614.0225, 8.625641
614.5046, 8.508636
614.9868, 8.921021
615.4689, 8.905289
615.9510, 7.728088
616.4331, 5.490311
616.9152, 4.407959
617.3973, 4.594727
617.8795, 4.940720
618.3616, 4.483414
618.8437, 3.433746
619.3258, 2.094940
619.8079, 0.3465580
620.2900, 0.8407900
620.7722, 0.1860810
621.2543, 2.054535
621.7364, 2.796692
622.2185, 0.5916900
622.7006, 1.320755
623.1827, 1.568741
623.6649, 0.7713470
624.1470, 0.4190520
624.6291, 1.199677
625.1112, 1.783142
625.5933, 1.819000
626.0754, 1.390991
626.5576, 1.021393
627.0397, 0.6037450
627.5218, 0.5977630
628.0039, 1.559204
628.4860, 3.312912
628.9681, 4.275406
629.4503, 4.413544
629.9324, 4.190308
630.4145, 3.928009
630.8966, 3.609604
631.3787, 3.100891
631.8608, 2.259460
632.3430, 1.754440
632.8251, 2.580536
633.3072, 3.804733
633.7893, 4.289078
634.2714, 2.824844
634.7535, 1.634537
635.2357, 1.367508
635.7178, 1.650864
636.1999, 1.618439
636.6820, 1.032639
637.1641, 0.6010740
637.6462, 0.6547240
638.1284, 1.012909
638.6105, 0.5803830
639.0926, 0.7379910
639.5747, 1.955719
640.0568, 2.107117
640.5389, 1.728806
641.0211, 2.655457
641.5032, 4.873306
641.9853, 6.935623
642.4674, 7.745636
642.9495, 7.758469
643.4316, 7.224838
643.9138, 5.900925
644.3959, 5.287415
644.8780, 6.513840
645.3601, 8.538330
645.8422, 10.30779
646.3243, 11.95044
646.8065, 12.95116
647.2886, 12.84103
