##NAMES=Ktenasite
##RRUFFID=R070081
##IDEAL CHEMISTRY=(Cu,Zn)_5_(SO_4_)_2_(OH)_6_&#183;6H_2_O
##LOCALITY=Amot, Modum, Norway
##OWNER=RRUFF
##SOURCE=Bob Jenkins
##DESCRIPTION=Radial aggregates of bluish green tabular crystals, associated with colorless tabular gypsum crystals.
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R070081
532.0172, 10.66577
532.4993, 10.01984
532.9814, 10.00128
533.4635, 12.17145
533.9456, 14.21191
534.4277, 14.43347
534.9099, 12.66443
535.3920, 8.988892
535.8741, 1.484619
536.3562, 6.963318
536.8383, 7.970764
537.3204, 0.6783450
537.8026, 7.521240
538.2847, 6.407776
538.7668, 0.9018550
539.2489, 2.166992
539.7310, 3.218079
540.2131, 8.911499
540.6953, 8.524048
541.1774, 4.218933
541.6595, 2.007935
542.1416, 3.718140
542.6237, 5.547546
543.1058, 2.314270
543.5880, 3.532349
544.0701, 7.037231
544.5522, 4.572510
545.0343, 0.4744870
545.5164, 4.356018
545.9985, 9.498596
546.4807, 10.91235
546.9628, 2.997253
547.4449, 5.679993
547.9270, 10.40643
548.4091, 9.590942
548.8912, 7.108521
549.3734, 1.469055
549.8555, 4.846558
550.3376, 8.716614
550.8197, 10.09766
551.3018, 8.719116
551.7839, 2.782837
552.2661, 5.292603
552.7482, 4.605957
553.2303, 5.579895
553.7124, 13.72021
554.1945, 8.819092
554.6766, 3.738953
555.1588, 5.081665
555.6409, 6.782715
556.1230, 17.19171
556.6051, 8.897339
557.0872, 8.735046
557.5693, 20.92456
558.0515, 21.17633
558.5336, 17.93610
559.0157, 14.91449
559.4978, 12.19031
559.9799, 10.02435
560.4620, 6.606934
560.9442, 5.516663
561.4263, 10.01947
561.9084, 21.43555
562.3905, 26.55273
562.8726, 21.97369
563.3547, 14.33569
563.8369, 6.516785
564.3190, 4.145081
564.8011, 4.442139
565.2832, 10.27820
565.7653, 29.97681
566.2474, 36.81439
566.7296, 30.62323
567.2117, 26.18762
567.6938, 30.63464
568.1759, 38.29718
568.6580, 35.45422
569.1401, 23.41052
569.6223, 12.45801
570.1044, 10.71527
570.5865, 13.38708
571.0686, 14.14990
571.5507, 11.58990
572.0328, 12.78137
572.5150, 26.27515
572.9971, 43.39252
573.4792, 55.34521
573.9613, 52.38129
574.4434, 52.69116
574.9255, 66.61841
575.4077, 86.23981
575.8898, 88.89941
576.3719, 60.29272
576.8540, 36.94775
577.3361, 31.49603
577.8182, 43.62933
578.3004, 54.37427
578.7825, 63.95746
579.2646, 70.90808
579.7467, 72.54785
580.2288, 69.83203
580.7109, 68.77338
581.1931, 70.24353
581.6752, 72.61945
582.1573, 73.84723
582.6394, 74.44446
583.1215, 75.70099
583.6036, 79.81219
584.0858, 83.16724
584.5679, 77.95099
585.0500, 68.32233
585.5321, 69.78223
586.0142, 103.4775
586.4963, 137.2845
586.9785, 154.4999
587.4606, 150.4646
587.9427, 146.2836
588.4248, 140.8672
588.9069, 137.1637
589.3890, 137.8313
589.8712, 144.3019
590.3533, 150.8378
590.8354, 155.7119
591.3175, 162.0029
591.7996, 178.9935
592.2817, 206.9061
592.7639, 227.6049
593.2460, 231.1375
593.7281, 225.6876
594.2102, 227.0336
594.6923, 234.6473
595.1744, 245.5628
595.6566, 263.2729
596.1387, 280.2394
596.6208, 286.1016
597.1029, 277.5596
597.5850, 271.2957
598.0671, 274.9810
598.5493, 285.3766
599.0314, 299.1078
599.5135, 322.3814
599.9956, 339.8953
600.4777, 347.7881
600.9598, 350.0911
601.4420, 353.7665
601.9241, 357.8226
602.4062, 364.5948
602.8883, 375.4724
603.3704, 389.3867
603.8525, 403.4252
604.3347, 418.6432
604.8168, 427.6617
605.2989, 420.6378
605.7810, 402.8983
606.2631, 390.2038
606.7452, 383.6857
607.2274, 380.7029
607.7095, 380.7216
608.1916, 382.2950
608.6737, 383.1481
609.1558, 380.8671
609.6379, 381.1218
610.1201, 391.8243
610.6022, 405.8686
611.0843, 409.2417
611.5664, 383.9177
612.0485, 365.2626
612.5306, 365.6056
613.0128, 382.2528
613.4949, 387.6692
613.9770, 377.3539
614.4591, 366.6359
614.9412, 365.1597
615.4233, 372.3815
615.9055, 371.6819
616.3876, 360.9860
616.8697, 350.2148
617.3518, 354.2163
617.8339, 366.7356
618.3160, 368.4113
618.7982, 350.2433
619.2803, 331.1558
619.7624, 333.2273
620.2445, 346.6789
620.7266, 352.4425
621.2087, 334.7569
621.6909, 315.3470
622.1730, 301.7750
622.6551, 294.3973
623.1372, 291.1267
623.6193, 298.8352
624.1014, 301.7081
624.5836, 291.2255
625.0657, 263.5360
625.5478, 247.9943
626.0299, 247.5587
626.5120, 252.1248
626.9941, 254.5959
627.4763, 254.4783
627.9584, 245.7861
628.4405, 225.8513
628.9226, 203.2691
629.4047, 190.7836
629.8868, 184.9451
630.3690, 176.9232
630.8511, 157.3805
631.3332, 139.4696
631.8153, 134.5607
632.2974, 139.5095
632.7795, 143.3384
633.2617, 142.4592
633.7438, 139.5050
634.2259, 135.9568
634.7080, 132.1736
635.1901, 124.0937
635.6722, 108.5247
636.1544, 92.93799
636.6365, 82.62433
637.1186, 78.57007
637.6007, 73.38232
638.0828, 65.74817
638.5649, 59.20746
639.0471, 58.82013
639.5292, 63.58423
640.0113, 70.11194
640.4934, 80.50153
640.9755, 86.82971
641.4576, 73.90436
641.9398, 49.73969
642.4219, 33.87683
642.9040, 45.20789
643.3861, 57.45801
643.8682, 54.33203
644.3503, 37.24725
644.8325, 27.29034
645.3146, 34.99524
645.7967, 43.53931
646.2788, 46.40454
646.7609, 42.75757
647.2430, 38.28595
647.7252, 32.14288
648.2073, 26.95258
648.6894, 25.39807
649.1715, 27.27075
649.6536, 30.83881
650.1357, 36.88550
650.6179, 41.14368
651.1000, 35.31964
651.5821, 23.67816
652.0642, 16.33051
652.5463, 21.06934
653.0284, 26.49567
653.5106, 25.07184
653.9927, 18.54187
654.4748, 11.72162
654.9569, 3.708008
655.4390, 2.188721
655.9211, 4.673035
656.4033, 3.868225
656.8854, 0.5522460
657.3675, 7.880188
657.8496, 14.22156
658.3317, 12.77869
658.8138, 3.136047
659.2960, 0.9044190
659.7781, 1.393311
660.2602, 5.864746
660.7423, 9.931213
661.2244, 12.83600
661.7065, 12.07739
662.1887, 5.938232
662.6708, 0.1632080
663.1529, 3.521851
663.6350, 3.548035
664.1171, 0.5887450
664.5992, 17.22601
665.0814, 29.20593
665.5635, 29.56451
666.0456, 21.09521
666.5277, 14.02606
667.0098, 6.727051
667.4919, 3.699463
667.9741, 7.436279
668.4562, 17.04004
668.9383, 26.20294
669.4204, 35.61572
669.9025, 39.45868
670.3846, 29.75452
670.8668, 11.68579
671.3489, 0.3757320
671.8310, 5.581726
672.3131, 7.570068
672.7952, 9.993469
673.2773, 10.32941
673.7595, 4.469421
674.2416, 13.32568
674.7237, 25.67700
675.2058, 21.55640
675.6879, 10.81665
676.1700, 5.871460
676.6522, 11.49402
677.1343, 15.23340
677.6164, 14.60535
678.0985, 12.01868
678.5806, 13.16083
679.0627, 18.27917
679.5449, 24.86603
680.0270, 33.49652
680.5091, 41.99908
680.9912, 44.95648
681.4733, 42.91138
681.9554, 38.96478
682.4376, 30.63708
682.9197, 24.26404
683.4018, 28.38904
683.8839, 43.36835
684.3660, 52.18933
684.8481, 42.98590
685.3303, 29.88232
685.8124, 22.06372
686.2945, 22.01263
686.7766, 19.98029
687.2587, 13.69360
687.7408, 8.782349
688.2230, 13.03088
688.7051, 27.17023
689.1872, 30.81226
689.6693, 18.30164
