##NAMES=Tausonite
##RRUFFID=X090004
##IDEAL CHEMISTRY=SrTiO_3_
##LOCALITY=Synthetic
##OWNER=GIA
##SOURCE=Gemological Institute of America
##DESCRIPTION=Faceted colorless stone, cell parameters indicate a disordered structure
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/X090004
606.7953, 115.7668
607.2775, 117.3225
607.7596, 119.8675
608.2417, 122.6946
608.7238, 124.5824
609.2059, 125.2362
609.6880, 126.4713
610.1702, 128.9663
610.6523, 131.2758
611.1344, 133.2354
611.6165, 134.6333
612.0986, 134.9492
612.5807, 133.9439
613.0629, 132.8837
613.5450, 133.2686
614.0271, 134.5489
614.5092, 134.9031
614.9913, 134.0827
615.4734, 132.8975
615.9556, 131.6520
616.4377, 130.4834
616.9198, 129.9527
617.4019, 130.7329
617.8840, 130.8544
618.3661, 129.5644
618.8483, 127.7252
619.3304, 126.0014
619.8125, 124.4584
620.2946, 122.9246
620.7767, 121.2877
621.2589, 119.6033
621.7410, 118.0823
622.2231, 116.8327
622.7052, 115.5072
623.1873, 114.2058
623.6694, 112.6213
624.1516, 110.2932
624.6337, 107.5577
625.1158, 105.3749
625.5979, 104.3400
626.0800, 103.5816
626.5621, 102.2512
627.0443, 100.4665
627.5264, 98.62717
628.0085, 96.81589
628.4906, 95.05392
628.9727, 93.29364
629.4548, 91.54736
629.9370, 90.34589
630.4191, 90.46457
630.9012, 90.03796
631.3833, 88.20413
631.8654, 85.88071
632.3475, 83.86356
632.8297, 82.37234
633.3118, 81.45407
633.7939, 81.38867
634.2760, 81.85648
634.7581, 81.33517
635.2402, 79.55960
635.7224, 77.83679
636.2045, 76.26385
636.6866, 75.16168
637.1687, 74.98029
637.6508, 75.68015
638.1329, 76.35367
638.6151, 76.73224
639.0972, 76.93707
639.5793, 77.08652
640.0614, 77.15067
640.5435, 76.92068
641.0256, 76.31805
641.5078, 75.78906
641.9899, 76.00583
642.4720, 77.12146
642.9541, 77.71652
643.4362, 77.24252
643.9183, 76.86618
644.4005, 76.74274
644.8826, 76.89819
645.3647, 77.53510
645.8468, 78.62814
646.3289, 79.49008
646.8110, 79.22769
647.2932, 78.37143
647.7753, 78.40814
648.2574, 79.41226
648.7395, 80.12115
649.2216, 79.80649
649.7037, 79.10709
650.1859, 79.16479
650.6680, 80.10138
651.1501, 81.19208
651.6322, 82.77618
652.1143, 84.12283
652.5964, 84.91360
653.0786, 85.12561
653.5607, 84.60178
654.0428, 83.32327
654.5249, 81.90118
655.0070, 81.20093
655.4891, 81.24780
655.9713, 81.27438
656.4534, 81.10275
656.9355, 81.25443
657.4176, 82.37521
657.8997, 83.77548
658.3818, 84.57834
658.8640, 84.60715
659.3461, 84.73068
659.8282, 85.70355
660.3103, 86.73087
660.7924, 86.72186
661.2745, 85.86389
661.7567, 85.22064
662.2388, 85.32504
662.7209, 85.81586
663.2030, 85.97879
663.6851, 85.59109
664.1672, 85.60898
664.6494, 86.61093
665.1315, 87.39584
665.6136, 87.33960
666.0957, 86.90778
666.5778, 86.75583
667.0599, 87.06885
667.5421, 87.60168
668.0242, 88.34317
668.5063, 89.10983
