##NAMES=Zunyite
##RRUFFID=R050263
##IDEAL CHEMISTRY=Al_13_Si_5_O_20_(OH,F)_18_Cl
##LOCALITY=Ruby Mountain, Tintic District, Utah, USA
##OWNER=RRUFF
##SOURCE=Marcus Origlieri
##DESCRIPTION=Colorless tetrahedral crystals
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R050263
##MEASURED CHEMISTRY=Al_13.00_Si_5.00_O_20_((OH)_14.80_F_3.20_)_Σ=18_Cl_1.00_ ; gray phase. (Al_12.92_Fe^3+^_0.08_)_Σ=13_Si_5.00_O_20_((OH)_14.86_F_3.14_)_Σ=18_Cl_1.00_ rim, lighter phase
568.3904, 69.50159
568.8725, 69.80957
569.3546, 69.61230
569.8367, 69.39124
570.3188, 71.54138
570.8010, 78.04907
571.2831, 85.39880
571.7652, 88.91052
572.2473, 89.56555
572.7294, 90.23743
573.2115, 92.11218
573.6937, 94.84082
574.1758, 98.55945
574.6579, 103.2354
575.1400, 107.3335
575.6221, 109.9769
576.1042, 112.1754
576.5864, 114.4973
577.0685, 115.9816
577.5506, 119.5256
578.0327, 127.0333
578.5148, 135.4305
578.9969, 140.3834
579.4791, 141.0018
579.9612, 141.4259
580.4433, 141.6613
580.9254, 142.6266
581.4075, 147.8792
581.8896, 157.3254
582.3718, 166.2944
582.8539, 171.6589
583.3360, 175.0468
583.8181, 179.9091
584.3002, 186.1053
584.7823, 191.8525
585.2645, 195.2181
585.7466, 197.7766
586.2287, 201.2753
586.7108, 206.2628
587.1929, 211.4531
587.6750, 216.2925
588.1571, 221.1252
588.6392, 226.3860
589.1213, 233.6117
589.6035, 239.4359
590.0856, 241.9338
590.5677, 242.9800
591.0498, 248.0956
591.5319, 259.4729
592.0140, 269.6914
592.4962, 275.1584
592.9783, 276.8180
593.4604, 283.1996
593.9425, 294.8811
594.4246, 305.9764
594.9067, 310.4496
595.3889, 310.7560
595.8710, 314.8044
596.3531, 323.5829
596.8352, 332.9604
597.3173, 339.2550
597.7994, 343.7709
598.2816, 348.2981
598.7637, 353.2794
599.2458, 358.6682
599.7279, 364.6653
600.2100, 371.0239
600.6921, 377.3413
601.1743, 384.5156
601.6564, 390.6023
602.1385, 394.6968
602.6206, 397.1421
603.1027, 400.3335
603.5848, 404.4517
604.0670, 408.9341
604.5491, 413.8849
605.0312, 419.2738
605.5133, 423.0515
605.9954, 424.9634
606.4775, 426.2308
606.9597, 428.0657
607.4418, 430.1794
607.9239, 431.6586
608.4060, 432.2388
608.8881, 432.4685
609.3702, 433.4734
609.8524, 434.4004
610.3345, 433.7874
610.8166, 429.6230
611.2987, 425.2957
611.7808, 422.3383
612.2629, 420.4631
612.7451, 418.7394
613.2272, 418.2200
613.7093, 416.5200
614.1914, 412.7863
614.6735, 407.0271
615.1556, 400.9363
615.6378, 394.4082
616.1199, 387.7604
616.6020, 381.3130
617.0841, 374.9707
617.5662, 367.6597
618.0483, 359.1819
618.5305, 350.5825
619.0126, 343.1495
619.4947, 336.4968
619.9768, 329.0577
620.4589, 320.0956
620.9410, 311.2361
621.4232, 304.2986
621.9053, 298.4105
622.3874, 291.9001
622.8695, 283.4731
623.3516, 275.0272
623.8337, 267.3306
624.3159, 260.2512
