##NAMES=Omphacite
##RRUFFID=R061129
##IDEAL CHEMISTRY=(Ca,Na)(Mg,Fe,Al)Si_2_O_6_
##LOCALITY=near Occidental, Sonoma County, California, USA
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Green granular massive associated with brown grossular and clinochlore
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R061129
##MEASURED CHEMISTRY=(Ca_0.51_Na_0.48_)_Σ=0.99_(Mg_0.44_Al_0.44_Fe^2+^_0.14_Fe^3+^_0.02_)_Σ=1.04_Si_2.00_O_6_ ; (darker phase) : (Mg_2.52_Al_0.32_Fe^2+^_2.13_Mn_0.03_)_Σ=5_Al_0.94_(Si_3.00_Al_1.17_)O_10_(OH)_8_ ( lighter, secondary phase = clinochlore)
563.8374, 1218.578
564.3195, 1186.839
564.8016, 1152.919
565.2838, 1116.182
565.7659, 1081.795
566.2480, 1055.703
566.7301, 1034.908
567.2122, 998.7852
567.6943, 946.5737
568.1765, 892.3997
568.6586, 847.2454
569.1407, 808.4751
569.6228, 771.3289
570.1049, 735.2812
570.5870, 700.0842
571.0692, 667.9458
571.5513, 636.7207
572.0334, 602.3604
572.5155, 555.8398
572.9976, 512.7278
573.4797, 479.9175
573.9619, 456.3931
574.4440, 437.9253
574.9261, 420.8718
575.4082, 410.8804
575.8903, 410.2571
576.3724, 421.8960
576.8546, 430.2454
577.3367, 434.3579
577.8188, 436.8782
578.3009, 439.7026
578.7830, 442.6184
579.2651, 447.0081
579.7473, 455.0308
580.2294, 461.5566
580.7115, 452.5991
581.1936, 431.2974
581.6757, 416.3301
582.1578, 419.0005
582.6400, 431.1960
583.1221, 443.6936
583.6042, 456.2944
584.0863, 468.2732
584.5684, 474.6721
585.0505, 483.1018
585.5327, 501.6711
586.0148, 536.3872
586.4969, 564.9138
586.9790, 576.2292
587.4611, 580.5032
587.9432, 589.4031
588.4254, 609.6855
588.9075, 624.4968
589.3896, 627.9595
589.8717, 625.8958
590.3538, 637.0618
590.8359, 664.9712
591.3181, 693.5229
591.8002, 717.4390
592.2823, 736.8003
