##NAMES=Saneroite
##RRUFFID=R060488
##IDEAL CHEMISTRY=Na_2_(Mn^2+^,Mn^3+^)_10_V^5+^Si_11_O_34_(OH)_4_
##LOCALITY=Molinello mine, Val Graveglia (Graveglia Valley), Ne, Genova, Liguria, Italy
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Orange colored blebs associated with white quartz, black braunite and brown parsettensite
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R060488
590.622, 16.469
591.104, 6.666
591.586, 9.059
592.068, 22.278
592.550, 26.645
593.032, 24.574
593.514, 27.162
593.996, 33.902
594.479, 55.256
594.961, 124.375
595.443, 209.703
595.925, 243.896
596.407, 203.134
596.889, 153.132
597.371, 140.070
597.853, 151.340
598.335, 167.934
598.818, 182.073
599.300, 200.780
599.782, 228.085
600.264, 262.545
600.746, 297.108
601.228, 328.017
601.710, 363.937
602.192, 409.440
602.674, 465.656
603.157, 511.611
603.639, 542.924
604.121, 574.428
604.603, 620.640
605.085, 680.225
605.567, 738.534
606.049, 792.596
606.531, 846.729
607.013, 901.010
607.496, 959.155
607.978, 1029.984
608.460, 1125.600
608.942, 1225.964
609.424, 1316.137
609.906, 1398.155
610.388, 1482.007
610.870, 1570.707
611.353, 1661.868
611.835, 1751.821
612.317, 1841.083
612.799, 1933.542
613.281, 2027.320
613.763, 2125.959
614.245, 2234.136
614.727, 2359.571
615.209, 2464.387
615.692, 2542.556
616.174, 2606.517
616.656, 2680.519
617.138, 2762.109
617.620, 2824.434
618.102, 2858.451
618.584, 2869.973
619.067, 2862.156
619.549, 2838.038
620.031, 2809.094
620.513, 2787.426
620.995, 2758.463
621.477, 2712.385
621.959, 2648.590
622.441, 2566.965
622.923, 2448.332
623.406, 2325.304
623.888, 2218.984
624.370, 2140.629
624.852, 2057.902
625.334, 1971.344
625.816, 1880.021
626.298, 1779.576
626.780, 1666.008
627.263, 1563.932
627.745, 1479.338
628.227, 1408.455
628.709, 1346.150
629.191, 1291.649
629.673, 1240.395
630.155, 1189.109
630.637, 1139.850
631.119, 1096.627
631.602, 1059.277
632.084, 1026.067
632.566, 996.121
633.048, 969.802
633.530, 945.732
634.012, 922.108
634.494, 908.077
634.976, 910.660
635.458, 920.757
635.941, 930.683
636.423, 939.390
636.905, 948.780
637.387, 955.340
637.869, 966.795
638.351, 1001.105
638.833, 1059.129
639.315, 1114.769
639.797, 1158.009
640.280, 1194.996
640.762, 1235.026
641.244, 1279.648
641.726, 1335.888
642.208, 1415.579
642.690, 1504.278
643.172, 1590.352
643.654, 1673.285
644.137, 1759.593
644.619, 1856.642
645.101, 1955.923
645.583, 2052.968
646.065, 2145.618
646.547, 2237.608
647.029, 2322.950
647.511, 2411.235
647.994, 2510.065
648.476, 2617.490
648.958, 2746.618
649.440, 2905.489
649.922, 3076.784
650.404, 3219.602
650.886, 3336.259
651.368, 3455.583
651.851, 3585.000
652.333, 3725.866
652.815, 3883.965
653.297, 4057.131
653.779, 4237.121
654.261, 4423.430
654.743, 4612.302
655.225, 4800.085
655.707, 4985.132
656.190, 5177.822
656.672, 5384.439
657.154, 5597.739
657.636, 5817.570
658.118, 6056.481
658.600, 6264.615
659.082, 6437.196
659.564, 6586.970
660.046, 6734.302
660.529, 6876.617
661.011, 6987.019
661.493, 7066.108
661.975, 7097.308
662.457, 7053.498
662.939, 6942.506
663.421, 6785.021
663.903, 6573.622
664.385, 6334.551
664.868, 6080.105
665.350, 5811.248
665.832, 5529.372
666.314, 5231.737
666.796, 4926.659
667.278, 4610.961
667.760, 4277.915
668.242, 3984.448
668.724, 3740.309
669.207, 3521.091
669.689, 3306.654
670.171, 3099.230
670.653, 2915.262
671.135, 2757.710
671.617, 2613.294
672.099, 2463.857
672.581, 2314.535
673.064, 2176.078
673.546, 2055.729
674.028, 1942.869
674.510, 1827.782
674.992, 1714.435
675.474, 1612.139
675.956, 1530.052
676.438, 1451.146
676.920, 1372.277
677.403, 1293.117
677.885, 1214.545
678.367, 1133.488
678.849, 1060.231
679.331, 1001.581
679.813, 955.691
680.295, 910.093
680.778, 864.236
681.260, 823.380
681.742, 793.243
682.224, 771.224
682.706, 754.398
683.188, 742.236
683.670, 732.641
684.152, 721.867
684.634, 713.743
685.117, 712.364
685.599, 721.196
686.081, 732.839
686.563, 751.078
687.045, 769.803
687.527, 780.025
688.009, 775.426
688.491, 779.166
688.973, 796.594
689.456, 822.696
689.938, 845.626
690.420, 865.941
690.902, 890.003
691.384, 925.312
691.866, 962.580
692.348, 987.541
692.830, 1002.000
693.312, 1014.094
693.795, 1020.961
694.277, 1032.627
694.759, 1059.016
695.241, 1101.731
695.723, 1135.531
696.205, 1151.857
696.687, 1163.529
697.169, 1176.912
697.652, 1192.534
698.134, 1204.025
698.616, 1209.832
699.098, 1215.316
699.580, 1231.293
700.062, 1253.722
700.544, 1257.622
701.026, 1235.844
701.508, 1208.863
701.991, 1196.831
702.473, 1194.047
702.955, 1191.160
703.437, 1189.123
703.919, 1181.692
704.401, 1163.180
704.883, 1137.833
705.365, 1115.649
705.847, 1104.249
706.330, 1084.461
706.812, 1048.054
707.294, 1001.067
707.776, 969.988
708.258, 956.900
708.740, 943.550
709.222, 922.566
709.705, 894.471
710.187, 855.861
710.669, 808.644
711.151, 769.550
711.633, 761.932
712.115, 758.624
712.597, 731.281
713.079, 674.575
713.561, 630.442
714.044, 622.398
714.526, 622.367
715.008, 611.256
715.490, 581.719
715.972, 560.309
716.454, 549.066
716.936, 543.358
717.418, 541.915
717.901, 543.777
718.383, 533.396
718.865, 503.780
719.347, 473.811
719.829, 468.465
720.311, 479.426
720.793, 489.999
721.275, 498.723
721.757, 497.879
722.240, 472.848
722.722, 436.619
723.204, 415.926
723.686, 432.923
724.168, 444.896
724.650, 441.472
725.132, 426.902
725.614, 419.389
726.096, 419.335
726.579, 417.068
727.061, 406.701
727.543, 393.349
728.025, 390.525
728.507, 395.403
728.989, 395.141
729.471, 379.707
729.953, 358.888
730.435, 339.135
730.918, 321.363
731.400, 308.339
731.882, 307.593
732.364, 305.808
732.846, 295.231
733.328, 273.217
733.810, 255.207
734.292, 240.190
734.775, 231.493
735.257, 237.597
735.739, 254.825
736.221, 258.283
736.703, 244.514
737.185, 224.655
737.667, 208.234
